,0,1,2,3
0,down25_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,down25_health_personnel_by_nuts2,,
1,up75_farm_labour_force,up75_causes_of_death_crude_death_rate_3year_average_by_nuts2,,
2,down25_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,down25_pupils_and_students_enrolled_by_sex_age_and_nuts2,down25_health_personnel_by_nuts2,
3,down25_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,down25_employment_thousand_hours_worked_nuts2,down25_health_personnel_by_nuts2,
4,down25_students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2,down25_pupils_and_students_enrolled_by_sex_age_and_nuts2,down25_employment_thousand_hours_worked_nuts2,down25_health_personnel_by_nuts2
