,0,1,2,3,4
0,over_employment_thousand_hours_worked_nuts2,over_life_expectancy,over_available_hospital_beds_nuts2,over_utilised_agricultural_area,over_pop_density
1,over_employment_thousand_hours_worked_nuts2,over_life_expectancy,over_pop_density,,
2,over_available_hospital_beds_nuts2,over_utilised_agricultural_area,,,
