lhs,supp,count,conf
"life expectancy (out IQR), pop. dens. (out IQR), ed. partic. (in IQR), NEETs (in IQR)",0.03472222,5,0.7142857
"life expectancy (out IQR), pop. dens. (out IQR), NEETs (in IQR). hosp. beds (in IQR)",0.03472222,5,0.625
"health personnel (out IQR), pop. dens. (out IQR), NEETs (in IQR). hosp. beds (in IQR)",0.02777778,4,0.6666667
