lhs,supp,count,conf
"tert. students (out IQR), longterm beds (in IQR)",0.2152778,31,0.8157895
"early leavers from ed. (out IQR), population (in IQR)",0.2013889,29,0.8055556
"early leavers from ed. (out IQR), vehicles (in IQR)",0.2013889,29,0.8529412
"unemployment rate (out IQR), GVA growth (in IQR)",0.2013889,29,0.8285714
