"","NUTS","Latitude","Longitude","Cases_density_2","response2","residuals2"
"107","PT18",38.4793,-8.0017,0.0386568600455889,-0.140413061471014,0.0691152115781879
"108","PT20",37.7846,-25.3659,0.0145060050412692,-1.28102116349357,-1.21258694627084
"109","PT30",32.7326,-16.9503,0.0225994477962982,-0.898780187843197,-0.782402425533454
"110","RO11",47.225,23.3458,0.0372968196562102,-0.204645697828017,-0.857319155754484
"111","RO12",46.186,24.8114,0.0373047477434589,-0.204271266341109,0.330782469906467
"112","RO21",47.0893,26.6947,0.031396312293019,-0.48331767458809,0.809486104939136
"113","RO22",45.4531,26.9744,0.0312788560519726,-0.4888649539762,0.202559294569729
"114","RO31",44.5192,25.3492,0.0372630089998676,-0.206242523636137,0.436414204807356
"115","RO32",44.5139,26.144,0.0624835809788278,0.984886682004807,-0.0083724598698236
"116","RO41",44.5996,23.6859,0.0260263639880256,-0.73693215502873,-0.442224439204846
"117","RO42",45.7133,21.9876,0.0401139160475986,-0.0715985254765059,-0.145502793238414
"118","SK01",48.2998,17.1607,0.0515567688980752,0.46882998809666,-0.0826787895324381
"119","SK02",48.4057,18.0701,0.057994552010317,0.772876680256151,0.178054612742616
"120","SK03",48.796,19.3647,0.0513971955101232,0.461293580001262,0.258586999159863
"121","SK04",48.9446,21.2527,0.0490039958125065,0.348266402935634,0.0286235870976904
"123","FR24",47.55,1.5908,0.00196864357300819,-1.87314165223511,-1.3052010191098
"127","FR51",47.4727,-0.8859,0.00156530670662035,-1.89219063818464,-1.22323968510788
"128","FR52",48.0984,-2.6897,0.00095428825281582,-1.92104810922532,-1.16442016682833
"132","FR82",43.9434,5.9746,0.0038851169710307,-1.78262953228308,-0.724744130351274
"133","HR04",45.6127,17.2044,0.0596007320917476,0.848734119417597,0.82642995686439
