NL42	105620	102510	100100	97940
NO01	80230	79620	78210	77320
NO02	212480	212190	208120	204030
NO03	197850	196940	192310	189030
NO04	131640	132180	130100	129260
NO05	149780	147940	143330	137700
NO06	167060	165910	161960	160560
NO07	96350	97210	91910	89210
PL11	1031900	1075090	957060	968400
PL12	1952310	2029600	1834790	1842830
PL21	648480	661730	565200	543640
PL22	413830	404260	357310	357630
PL31	1437660	1530840	1356740	1363140
PL32	650750	712630	569520	561220
PL33	525610	558980	503000	491470
PL34	1058310	1093270	1031750	1058850
PL41	1695740	1746110	1722000	1722960
PL42	861450	916010	897290	839070
PL43	414680	457290	417700	413890
PL51	905720	1007900	909470	910730
PL52	506880	552730	509060	520990
PL61	1019310	1031090	1055670	1039610
PL62	933850	966100	1028820	1048740
PL63	698400	733560	731930	726690
PT11	705790	694990	644030	646610
PT15	106230	102760	88300	92230
PT16	658040	584290	570000	558020
PT17	102590	81900	87590	74370
PT18	1979700	1893090	2152390	2146510
PT20	122780	112050	120410	118590
PT30	4460	3860	5430	5260
RO11	1941420	1962060	1808350	1783180
RO12	1743230	1762930	1627290	1693990
RO21	2032950	2087970	1940160	1937080
RO22	2151210	2187990	2194370	2092500
RO31	2325760	2255530	2333680	2250950
RO32	177820	187700	62450	75570
RO41	1782600	1629490	1608410	1574200
RO42	1751710	1679380	1731410	1648380
SE11	100580	97470	94840	92000
SE12	821780	802040	789860	786510
SE21	529820	518400	502800	502900
SE22	558780	551140	545800	535970
SE23	675620	660860	655380	652920
SE31	275020	266950	261230	254480
SE32	114800	110100	106400	104450
SE33	116040	111050	110000	106680
SI01	343960	340010	343520	342480
SI02	141470	148760	139130	143270
SK01	77410	72990	75810	78640
SK02	805560	834950	812180	817390
SK03	460410	480710	466030	465740
SK04	536100	547970	541480	539840
UKC1	179590	179840	205130	208350
UKC2	377870	379690	382920	392980
UKD1	449880	449290	554930	570830
UKD2	160920	164600		
UKD3	38570	36970	40720	37130
UKD4	213350	216020	210630	218720
UKD5	16570	16950		
UKD6		162740	158500	162980
UKD7		18810	17970	19880
UKE1	270960	267770	263640	265560
UKE2	609740	604250	674350	693220
UKE3	83560	77640	78930	81260
UKE4	94940	93420	101890	104780
UKF1	315840	317710	309770	314890
UKF2	361750	366470	357990	355550
UKF3	489970	488500	466680	465820
UKG1	429980	429680	421480	438370
UKG2	459230	460580	449120	465360
UKG3	14220	14300	14330	14160
UKH1	935720	911600	894570	898170
UKH2	176080	168730	169330	165930
UKH3	240710	237450	241880	235540
UKI1	90	180		
UKI2	10790	11240	11270	11420
UKJ1	356580	356870	354640	361510
UKJ2	265630	269670	273590	274410
UKJ3	213010	215120	231000	241810
UKJ4	220910	221180	215050	212210
UKK1	521960	525370	516110	537850
UKK2	453310	461760	448790	465600
UKK3	269890	265190	260970	275310
UKK4	485330	487180	504410	525800
UKL1	873310	861380	990050	1094040
UKL2	515470	511520	609600	651500
UKM2	1255430	1297730	1288230	1247660
UKM3	770950	774750	813210	798340
UKM5	450030	465710	454640	478770
UKM6	2360890	2429970	2880860	2763560
UKN0	1013960	1006890	1013650	1046140
