geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
DK05	398896	392409	391036	388734	388336	394173	395405	393795	392359
DKZZ	12084	12219	11483	11375	12148	10377	7114	9076	9888
EE00	1120615.7	1119154.5	1121184.6	1125886	1153372.1	1158943.2	1191061.8	1160589.6	1166480.4
EL30	3468156.41	3316341.47	3281660.23	3349109.64	3265614.37	3384132.03	3344430.98	3557044.14	3547346.82
EL41	165583.02	170732.53	173971.77	177025.67	173481.35	179192.09	179369.42	188973.3	185585.18
EL42	328674.86	342123.68	336215.87	346109.1	338093.89	357216.65	356562.79	376717.33	373581.32
EL43	592064.11	581333.18	581183.57	590326.79	568737.23	598691.91	601297.33	636524.6	618141.47
EL51	465731.37	474075.37	474218.51	480802.25	456924.83	471588.6	472771.44	491152.5	477734.29
EL52	1447990.61	1424502.7	1439296.95	1439532.22	1384597.34	1445824.6	1446601.13	1523401.71	1500535.38
EL53	199553.17	196256.51	195831.5	197374.06	187034.14	193115.05	192284.74	199583.47	197578.86
EL54	276050.73	284169.29	278178.15	275410.12	258068.32	267055.51	264850.52	275599.94	271257.46
EL61	587250.28	599821.3	592391.92	585797.47	558879.99	577937.46	581690.83	608458.57	592254.49
EL62	188654.8	198358.74	196444.11	198313.64	191643.56	200789.11	198706.05	206786.96	205834.81
EL63	578303.29	562185.19	562126.21	558131.42	527480.66	542491.59	545631.3	565976.92	552112.38
EL64	461453.87	426035.8	437167.57	450136.72	429700.26	445162.51	447456.86	466104.74	457774.43
EL65	509076.75	504933.98	509636.25	510547.23	483225.2	496720.66	501128.17	524233.56	505316.23
ES11	1886666.4	1792882.6	1737390.4	1743316	1774972.2	1809804.4	1830379	1849871.9	1890223.7
ES12	700852.1	663545.1	634003.6	636573.5	644537.7	655686.7	658197.5	673421.1	679799.5
ES13	389006.4	372455.2	363077.1	362367.9	367006.5	375524.9	376594.7	383326.6	390192.8
ES21	1675105.5	1609647.4	1556540	1548881.1	1592941.2	1631446.6	1675116.7	1699255.3	1717818
ES22	500153.7	477294.5	464522	465891.3	475791.5	496491.7	498470.4	507960	514386.7
ES23	241374.4	229497.1	222694.3	226959	232199.6	239546.7	233286.6	237343.4	242063.6
ES24	1008025.6	962443.9	935365.7	937675.8	953497.8	979603.6	1007328.6	1023187.2	1046027.2
ES30	5380184.8	5157158.3	5047974.5	5112333.9	5294303.2	5394353.4	5548240.2	5747539.2	5893674.9
ES41	1709336.5	1631283.6	1557592.1	1555986.3	1597737.4	1618294.8	1660737.4	1685206.8	1699483.3
ES42	1268324.8	1206594.9	1165073.8	1152300.1	1187385.4	1220348.8	1232379.5	1254040	1267123.8
ES43	621465.6	589676.5	578921	583542.8	597959.5	611291.6	643733.4	649449.3	657827.2
ES51	5764376.1	5468212.4	5277733.6	5338306.2	5513143.5	5666070.5	5874439.7	6028860	6124640.4
ES52	3177092.4	3008624.5	2922438.8	2980514.3	3090124.5	3176273.8	3244829.9	3333077.9	3405222.3
ES53	829588.9	801736.6	779801.7	806716.2	830926.6	859062.5	862785.8	899026.7	925220.7
ES61	4921950.9	4648601.7	4527285.2	4625272.7	4755989.8	4889873.9	4927703.4	5066145.9	5170607.5
ES62	995743.1	952052	939391.8	948196.6	984966.2	1018441	1035941.4	1045306.7	1071348.8
ES63	55169	54118	54994.9	56535.2	60874	63245.4	51747.1	52798.9	52732.7
ES64	53057.7	53516	55695.9	57964	60288.6	63728.2	47771.3	49240.8	49949
ES70	1321997.8	1265432.4	1244390.4	1251948.8	1293328.8	1343782.6	1374241.3	1423790.9	1454079.8
ESZZ	22145.4	17264.2	18719.5	18076.1	19826.8	19693.6	18229	19514.4	19905.3
FI19	1023140.7	1017281.3	994139.04	988178.04	981843.95	973005.18	979034.06	999262.02	1009238.7
FI1B	1321140.8	1354478.99	1358535.5	1357440.76	1363389.26	1390487.23	1408377.2	1441132.56	1478036.71
FI1C	843774.85	834850.23	821060.58	804154.78	797883.36	798310.24	801793.55	817376.15	825750.92
FI1D	910150.29	900419.28	882593.05	881408.78	879880.78	876845.67	876987.91	905255.29	902301.04
FI20	29773.09	29153.46	30139.16	30486.7	29882.92	30389.6	30473.64	29054.45	29690.89
FIZZ	4020.26	4016.75	3132.66	3530.95	3219.74	3262.08	3033.63	3719.53	4381.76
FR10	9364000.13	9411585.35	9365233.06	9379872.06	9415987.22	9491435.9	9507871.56	9730027.73	9893005.07
FRB0	1557015.16	1546733.43	1523268.79	1515560.8	1512757.11	1518763.97	1510083.15	1515140.98	1527906.09
FRC1	1018533.85	1007409	992099.75	984998.83	979406.18	980662.92	976846.38	981807.58	986481.08
FRC2	681947.82	669909.03	659557.72	654796.82	656177.09	660333.25	663945.54	665417.95	667510.74
FRD1	904967.76	899884.12	885468.16	881107.5	879404.37	885602.11	885031.1	892454.11	901972.21
FRD2	1091741.45	1082267.3	1060657.47	1061408.26	1054212.33	1051171.93	1041596.49	1050213.97	1059554.92
FRE1	2329109.44	2309154.26	2276779.14	2276284.43	2285040.64	2311728.31	2303633.6	2319524.11	2344624.57
FRE2	1031509.92	1020245.81	1005054.11	999356.97	997294.84	994620.22	988115.47	993313.41	999611.01
FRF1	1174970.7	1171502.66	1157198.28	1152919.06	1153545.51	1162475.5	1170862.15	1181620.41	1189032.66
FRF2	838370.88	826651.56	808385.43	802919.29	796925.36	798579.75	796976.48	796633	795397.16
FRF3	1290269.6	1271356.25	1243861	1236974.27	1230114.01	1231755.61	1225276.11	1224204.54	1231976.07
FRG0	2355059.14	2364594.7	2339381.98	2340760.06	2358721.51	2394018.34	2417122.52	2459229.28	2500254.27
FRH0	2039311.12	2034791.03	2010141.02	2012657.11	2024261.16	2042839.35	2051404.8	2081459.69	2118717.07
FRI1	2093551.22	2105377.56	2097192.44	2100481.1	2112668.83	2137622.66	2148393.52	2195767.1	2229085.84
FRI2	439504.31	434656.61	427037.56	423656.87	421756.18	424413.7	420392.69	420093.24	420325.41
FRI3	1087853.11	1088547.7	1078299.62	1071367.98	1070072.83	1073197.49	1072893.93	1083905.64	1097117.65
FRJ1	1502597.53	1502195.45	1488604.47	1494132.37	1507721.14	1523005.59	1527729.86	1555694.75	1587987.76
FRJ2	1875885.15	1891764.23	1879037.7	1881696.84	1890701.64	1924578.98	1933682.05	1969724.87	2007145.49
FRK1	819609.01	819974.29	812859.31	811124.61	806454.27	808175.09	802696.85	806257.04	809326.49
FRK2	4165480.38	4186755.29	4174582.37	4181705.74	4202967.6	4247283.56	4287418.25	4369912.17	4445125.91
FRL0	3096299.68	3099488.75	3079248.28	3079608.26	3093184.61	3121075.61	3129634.03	3183315.8	3237397.62
FRM0	185468.77	187880.75	187821.08	189031.69	190452.22	192251.74	193148.94	198607.82	201788.38
FRY1	196116.81	195316.15	193238.05	191752.07	193779.1	192062.77	187462.98	186676.27	192558.06
FRY2	207726.9	207001.37	203055.13	203451.15	206027.94	203831.66	198808.2	196403.14	200927.55
FRY3	78039.47	79387.03	80492.67	81972.95	82970.81	82321	81934.72	84225.59	87553.74
FRY4	400227.05	405070.66	410055.74	421803.32	430828.85	436276.48	436670.34	431524.58	450363.05
FRY5			59910.15	64646.56	66763.15	68802.67	73898.65	69611.49	77145.34
HR03	950946.86	919504.33	891011.52	910642.25	891682.39	897584.13	920394.62	937887.79	976504.39
HU11	2262503.6	2204861.31	2278600.19	2366153.61	2459616.36	2570513.36	2651025.43	2647841.84	2715457.37
HU12	676233.64	683060.08	686467.75	724123.16	740665.9	811941.93	813262.53	814232.88	827908.65
HU21	713057.62	718246.01	711661.17	751453.58	764339.46	780091.84	784105.67	817646.97	834360.64
HU22	695098.53	714772.97	718263.25	764718	758071.63	794379.59	793190.24	807525.38	802363.61
HU23	498957.67	488688.35	491243.17	520854.99	521846.94	551736.01	554414.48	560591.52	544491.16
HU31	587589.45	586420.88	596965.42	633403.01	641175.06	652924.01	660136.3	677347.69	677115.6
HU32	753214.18	777765.63	778772.03	832628.35	855600.52	894143.97	893644.9	905641.07	885983.8
HU33	735986.9	750957.01	733015.2	783657.03	788639.91	817917.53	816857.52	836062.17	833023.46
HUZZ	0	0	0	0	0	0	0	0	0
IE04	527169.04	523300.04	550645.42	552490.33	589215.93	610201.06	618346.29	626029.94	649988.48
IE05	1100114.7	1092149.43	1121607.09	1151317.3	1200110.04	1221286.97	1287462.43	1313147.01	1293974.13
IE06	1571216.45	1567999.85	1615640.75	1699121.01	1763918.51	1837878.44	1899500.34	2002255.72	2087081.54
ITC1	3322219.7	3238348.1	3163622.3	3141513.7	3193130.7	3221382.1	3253873.2	3296619.7	3249199.7
ITC2	114357	110824.9	106757.6	105124.9	104954.8	104964	106919.5	109158.8	107701.8
ITC3	1188596.1	1175836.2	1140761.7	1129332.8	1127119.1	1142327	1148780.2	1141935.5	1156158.5
ITC4	8093631.6	7979557.8	7755877.4	7767738.5	7851829.5	7994932.3	8118499.3	8286969.6	8309951
ITF1	973724.4	941619.4	924666.9	902627.6	912075.5	915620	900296.2	905173.3	899842.8
ITF2	206450.8	198869.4	190884.6	190589.1	190425.3	192362.9	193028.3	195985.9	193459.3
ITF3	3369217.7	3261718.8	3120414.2	3141990.1	3167495.3	3237041.1	3285004.4	3223203.9	3223766.9
ITF4	2486386.2	2440777.4	2336054.1	2349221.8	2381236.4	2424130.8	2460149.7	2451686	2430414.9
ITF5	372019.8	353773.6	341964.7	345666.7	359322.3	366597.7	366078.7	367471.8	362818.7
ITF6	1179399.4	1118654.6	1087144.2	1082538.5	1100897.6	1111974	1122031.7	1077528.8	1063332.8
ITG1	2812074.4	2701050.1	2628790.6	2638350.8	2606777.8	2636562.1	2632966.4	2618000.7	2638133.2
ITG2	1098575.3	1068553.7	1046887.5	1024858	1032612	1047474.8	1052971.5	1033426.6	1060499.8
ITH1	514525.2	499684.6	500455.1	497470.1	497661.9	507826.3	524392.1	538871.1	537482.9
ITH2	454768.1	447586.8	444917.4	447320.2	437751.5	442627.1	447419.4	461538.9	458357.9
ITH3	3934561.2	3865301.5	3748733.1	3781090.5	3787063.5	3853056.4	3886682.9	4000567.2	3994510.6
ITH4	956673.8	925997.8	906727.9	894375.2	902609	904916.5	910530.6	927456.7	929524.2
ITH5	3719090.1	3630644.5	3589184.6	3562543.6	3557969.9	3595591.3	3648723.5	3713821.7	3710143.5
ITI1	2864254.9	2825036.4	2762547.6	2774402.7	2787863.9	2841825.3	2866477.9	2901702.2	2888656.7
ITI2	654833.4	639556.6	610165	611732	616108.3	620096.4	623591.5	637434.2	633069.5
ITI3	1181396	1108888.1	1079914.3	1091357	1093799.3	1106452.1	1129903.4	1157674.9	1149917.7
ITI4	4541265.1	4422873.7	4345216.7	4316138.2	4387452.5	4504217.9	4528400.4	4565242.9	4605687.3
ITZZ	9498.7	9008.6	8907.9	9454.7	9657.3	9966.6	9978.6	10735.7	10677.2
LT01	746735.15	770555.57	778845.37	788422.28	897058.51	980776.8	996156.09	1028094.94	1025667.8
LT02	1632973.98	1651262.55	1654373.67	1683194.8	1644621.43	1651400.28	1559335.71	1573644.92	1593174.31
LU00	561665.65	573175.78	580731.78	597449.32	615741.02	633781.67	651779.31	675997.1	698398.03
LV00	1671254	1680177	1713053	1699326	1690648.28	1686172.95	1671429	1707442	1674916.85
MT00	348792.43	353099.33	362899.99	373733.66	385651.45	419303.89	437356.69	470772.07	520214.42
MTZZ	0	0	0	0	0	0	0	0	0
NL11	387593	381282	377939	379846	381287	393323.78	402619	407805	413906
NL12	428190	420784	409709	414917	412223	423570.79	429656	438513	449898
NL13	313740	311955	309479	310888	309584	311397.5	317006	323150	329327
NL21	819297	808172	795426	798617	799687	823504.17	846360	871759	889259
NL22	1457073	1441400	1419019	1427148	1428923	1461799.8	1494148	1531223	1563695
NL23	246633	249793	248017	245436	242772	247645.26	253070	263465	269150
NL31	1044385	1039951	1039273	1045819	1050444	1068207.31	1107674	1143153	1190533
NL32	2241479	2225136	2231442	2262130	2342851	2389760.67	2440571	2523878	2593178
NL33	2646561	2623920	2600756	2614788	2624625	2698843.01	2749980	2821940	2849100
NL34	258050	255550	251837	253048	253190	257608.84	260492	267691	272516
NL41	1927882	1912107	1889325	1903848	1926348	1976108	2030409	2076479	2124167
NL42	800228	788158	777935	775686	781635	797243.22	819549	837009	849734
NLZZ	4889	4790	4845	4829	4997	4849	4929	4386	3815
PL21						2805625.5	2782445.6	2813435.8	2851188.9
PL22						3864278.5	3864039.8	3744247	3689678.9
PL41						3236466	3283114.2	3227325	3237154.9
PL42						1368247.4	1369476	1396763.5	1366641.4
PL43						832568.6	831669.4	814812.7	812683.1
PL51						2534148.3	2502856.8	2452456.4	2489178.4
PL52						754695	755707.2	763016.2	748278.8
PL61						1733618.5	1729111	1746292.6	1733452.6
PL62						1141251.2	1149434.7	1109983.7	1124957
PL63						2014988.9	2033869.6	2032780.2	2023501.3
PL71						2225437	2233992.7	2268936.1	2188575.2
PL72						1027675.4	1038468.4	1011541.7	1022110.6
PL81						1718615	1705364.8	1675831.5	1668395.4
PL82						1601162.5	1628960.2	1602837.1	1593374.9
PL84						1016311.4	1006112.8	1013730.1	999620.6
PL91						2849420.6	2856829.1	2942638	3338752.8
PL92						2303691.9	2337527.5	2226064.7	1857139.4
PT11	2999242.97	2868773.9	2825893.94	2886274.23	2939928.27	2983253.6	3051387.82	3148273.06	3157604.27
PT15	388120.47	364316.4	353413.33	367238.12	381272.59	399739.16	418135.43	445006.4	449654.19
PT16	1900223.69	1802673.16	1746268.25	1762978.19	1782562.22	1803954	1835184.52	1869250.86	1884209.06
PT17	2611296.07	2472371.52	2417132.97	2457388.1	2504228.71	2576525.95	2672939.72	2766459.02	2842550.75
PT18	595911.66	566410.61	550022.92	561700.46	568932.58	575560.22	585562.45	594899.4	596075.46
PT20	204555.94	191105.94	183889.36	188984.86	200186.79	203633.22	205991.54	207382.93	209800.63
PT30	230925.4	219316.18	210405.1	214233.36	214568.35	216893.02	224353.42	228017.77	225750.25
PTZZ	5090.7	4871.89	4603.88	4258.21	4463.42	4634.49	4688.33	4022.08	4219.71
RO11	2090617.24	2153206.1	2144462.24	2143760.57	2090313.2	2111713.3	2129315.49	2133723.44	2136233.31
RO12	1646240.54	1627649.11	1627803.11	1620256.44	1650780.05	1701196.52	1707857.53	1646124.46	1693438.88
RO21	2702878.26	2701531.37	2663711.77	2665286.44	2691873.54	2651859.65	2651151.48	2667933.22	2713162.93
RO22	1850855.35	1804454.81	1745151.27	1680643.46	1756528.61	1738069.24	1711281.1	1729159.48	1744044.19
RO31	2056707.12	2091527.43	2122592.77	2115045.21	2022645.52	2047501.25	2100703.19	2084686.77	2080272.85
RO32	2213161.17	2149075.33	2115743.06	2157260.19	2212847.31	2257175.25	2247230.73	2300541.59	2355757.74
RO41	1738758.9	1693088.86	1635576	1654258.28	1443187.99	1426311.12	1534604.93	1536493.79	1525183.32
RO42	1461548.72	1440798.39	1425211.77	1441299.5	1355919.5	1315559.77	1331424.17	1338722.95	1347926.08
