PL12	313970	300340	223230	209610
PL21	314880	277270	150800	141960
PL22	182570	141010	59810	56100
PL31	281010	282440	187760	177870
PL32	274050	279290	137670	131610
PL33	133670	129010	97470	91120
PL34	111300	107000	83990	79260
PL41	178030	176790	122840	120980
PL42	55130	53100	29530	28720
PL43	44870	40640	21680	20940
PL51	114440	125010	59580	58400
PL52	59720	59330	27730	26260
PL61	101250	96990	67200	64540
PL62	64060	64030	44140	42210
PL63	61550	56850	39650	39010
PT11	112300	100280	108910	95770
PT15	14470	12060	12150	11220
PT16	117540	94700	103300	83890
PT17	8470	6900	7200	5400
PT18	37710	31340	38940	33690
PT20	15110	13010	13360	11640
PT30	11470	10280	13510	11880
RO11	588500	531120	523130	495490
RO12	438320	396180	390270	354570
RO21	851970	804890	786310	749260
RO22	529680	498570	456380	428460
RO31	844420	759620	795300	747340
RO32	63570	62140	33270	25120
RO41	606250	578840	573970	555170
RO42	315180	282290	269730	241890
SE11	1710	1670	1710	1670
SE12	12040	11820	11850	11260
SE21	10920	10660	10580	9960
SE22	10130	9670	9740	9220
SE23	17740	17110	16450	15530
SE31	9090	8500	8010	7390
SE32	4530	4170	3820	3470
SE33	4240	4020	3690	3470
SI01	54830	53580	50910	47160
SI02	22210	21630	20300	19380
SK01	2130	2080	460	420
SK02	27220	27180	7240	6760
SK03	19550	19660	8500	8020
SK04	17790	18030	5990	5620
UKC1	3670	2210	1970	2010
UKC2	3030	2250	1980	2100
UKD1	7380	5830	4590	4290
UKD2	5130	3390		
UKD3	1510	1220	860	690
UKD4	6450	4380	3360	3030
UKD5	390	230		
UKD6		3380	2670	2310
UKD7		240	270	200
UKE1	3690	2710	2250	2320
UKE2	11020	8150	6450	6820
UKE3	1690	1130	960	810
UKE4	4530	2410	1830	1570
UKF1	7370	4810	4030	3700
UKF2	5510	4450	3570	3610
UKF3	6240	4130	3300	3350
UKG1	10240	7790	6100	5830
UKG2	13510	8310	6560	5680
UKG3	540	270	250	210
UKH1	13670	8310	7290	7010
UKH2	2520	1940	1520	1490
UKH3	3440	2120	2130	2060
UKI1	0	0	10	0
UKI2	240	160	180	140
UKJ1	5430	3920	3370	3380
UKJ2	6610	5070	3870	4260
UKJ3	4210	2870	2280	2280
UKJ4	4310	3320	2550	2600
UKK1	11450	7460	5810	5640
UKK2	12320	7610	6000	6340
UKK3	8590	5480	4390	3910
UKK4	15830	9710	7840	8100
UKL1	23380	24660	15960	16460
UKL2	12630	12430	7890	8280
UKM2	6230	6270	6280	6580
UKM3	5550	5590	6350	6520
UKM5	4250	4320	4300	4370
UKM6	8980	9450	13060	12060
UKN0	26460	25540	23030	23950
