geo	2016	2017	2018	2019	2020
FRF1	20.9	17.8	18.6	20.8	12.7
FRF2	15.7	15.9	18.0	17.5	11.1
FRF3	18.4	16.9	18.1	20.5	12.9
FRG0	20.7	21.6	20.1	21.7	14.4
FRH0	21.7	20.5	21.3	21.7	13.7
FRI1	20.3	20.2	20.0	20.6	14.8
FRI2	21.4	20.3	19.3	20.2	14.3
FRI3	16.7	18.3	18.5	19.8	12.7
FRJ1	18.1	19.2	18.1	18.3	14.0
FRJ2	22.8	23.8	26.6	24.7	15.8
FRK1	20.4	18.8	17.3	21.2	11.7
FRK2	23.8	24.6	24.2	24.8	16.1
FRL0	17.8	16.2	15.3	16.7	11.1
FRM0	9.1	8.0	5.9	7.2	7.5
FRY1	9.1	7.5	6.4	8.5	6.6
FRY2	10.1	9.5	10.8	10.9	7.6
FRY3	7.3	7.9	7.7	7.9	4.4
FRY4	12.1	11.2	10.7	11.5	8.2
HR03	2.6	1.9	2.4	3.0	2.8
HR04	3.2	2.6	3.1	3.7	3.4
HU11	9.6	9.1	9.4	8.0	5.9
HU12	5.6	6.1	5.4	5.5	4.2
HU21	7.5	5.0	4.7	4.1	4.5
HU22	4.6	4.7	4.4	4.2	4.2
HU23	4.8	4.8	4.3	3.8	3.9
HU31	4.2	4.2	4.4	4.5	4.6
HU32	6.3	6.8	6.2	8.3	6.7
HU33	5.9	6.2	6.8	5.4	5.2
IE04	5.4	7.5	10.4	11.1	9.8
IE05	6.2	8.5	11.3	10.5	9.7
IE06	7.0	9.8	14.0	14.5	12.2
IS00	24.7	23.6	21.5	22.2	20.3
ITC1	8.4	7.9	8.4	8.8	7.0
ITC2	7.8	8.2	8.5	9.1	7.5
ITC3	9.2	9.3	9.1	9.8	8.7
ITC4	9.3	8.7	9.0	9.1	7.9
ITF1	7.4	6.1	6.7	7.2	6.9
ITF2	6.5	7.1	7.8	7.7	7.1
ITF3	5.8	6.3	5.7	5.3	5.3
ITF4	6.3	5.3	5.4	5.8	5.5
ITF5	7.6	7.2	7.9	7.0	7.1
ITF6	5.7	6.0	5.2	5.7	5.6
ITG1	5.0	5.1	5.2	4.8	4.7
ITG2	9.9	8.5	8.5	8.5	8.6
ITH1	11.1	10.1	10.3	10.1	7.1
ITH2	11.9	11.4	11.7	11.5	10.8
ITH3	8.5	9.1	9.8	9.9	7.6
ITH4	11.8	10.5	11.3	10.9	8.7
ITH5	10.0	10.0	10.9	10.4	9.2
ITI1	10.3	9.0	10.0	9.4	8.2
ITI2	10.3	9.0	9.3	10.2	8.1
ITI3	8.6	7.4	7.9	7.7	6.2
ITI4	8.8	9.0	8.1	8.5	7.8
LT01	5.9	5.8	7.2	8.1	8.5
LT02	6.0	5.9	6.4	6.5	6.6
LU00	16.8	17.2	18.0	19.1	16.3
LV00	7.3	7.5	6.7	7.4	6.6
ME00	3.3	2.8	3.2	2.5	2.7
MK00	2.9	2.3	2.4	2.8	2.6
MT00	7.8	10.6	10.9	11.9	11.0
NL11	20.7	21.5	21.8	22.3	19.9
NL12	16.1	16.4	19.0	18.7	16.4
