geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
DEA3	73573.73	74530.69	74726.53	76806.43	79304.26	82180.27	85748.19	87924.47	91577.84
DEA4	63450.54	64849.37	66773.78	69971.72	71378.8	73861.86	75986.91	78601.1	81284.94
DEA5	105474.08	106403.71	107945.66	112337.85	115052.53	117578.4	121706.21	125958.45	129209.88
DEB1	40457.75	41267.31	42237.16	44215.3	45616.4	46651.52	48834.39	50161.69	51663.83
DEB2	13344.39	13572.83	14059.36	14459.04	14997.98	15533.25	15793.65	16188.02	16703.89
DEB3	63520.53	65649.93	66719.63	68853.36	72309.51	74116.5	75556.73	77147.09	79178.7
DEC0	31789.9	32017.61	31715.72	33254.37	34038.66	34264.01	35370.14	35851.99	35635.59
DED2	39168.53	39808.12	41235.17	43143.66	45499.73	46681.56	48410.34	50068.78	51801.71
DED4	34551.6	34866.16	35201.01	36883.19	37870.38	39060.19	40388.32	41173.56	42277.68
DED5	25683.09	26655.58	27702.55	29300.69	30217.79	31495.08	33066.9	34026.05	35712.05
DEE0	51982.67	54120.08	55049.22	56317.91	57395.94	58990.85	60945.58	62218.57	64735.15
DEF0	75930.13	78768.27	80006.91	82868.07	84799.05	87511.53	92624.78	95170.12	99426.69
DEG0	50625.42	51362.82	53400.89	56196.53	57475.51	59008.12	61246.99	62278.01	63785.84
DK01	93288.52	97256.44	100665.88	105454.55	111122.75	114206.25	120180.22	123896.13	126671.13
DK02	24744.87	25470.62	25452.3	25982.97	27592.28	27994.79	29174.64	29946.35	31365.17
DK03	48275.03	49040.88	50154.47	51473.07	52592.07	54162.58	55445.69	56444.58	58219.24
DK04	51001.37	51529.73	52311.72	53675.21	54150.96	58887.63	61143.11	62349.18	64691.65
DK05	21628.14	22342.4	22603.35	22880.11	23613.64	24388.31	25456.44	25694.3	26208.4
DKZZ	8941.76	8937.93	7555.11	6291.05	3946.04	3469.96	3408.22	3998.15	3320.32
EE00	16677.26	17916.68	18910.78	20048.23	20631.36	21747.91	23833.61	25817.68	27732.29
EL30	98648.6	90148.11	86155.82	84639.88	83616.78	83007.41	84535.17	85687.83	87427.58
EL41	2896.87	2693.03	2568.12	2558.09	2495.14	2433.03	2433.49	2466.8	2547.66
EL42	6564.38	6080.02	6080.9	6172.65	6087.6	5854.81	5920.14	6133.85	6386.33
EL43	9588.22	8731.83	8607.98	8821.47	8825.78	8605.56	8824.38	9013.24	9242.48
EL51	8011.3	7472.14	6982.7	6813.44	6786.1	6807.55	6806.94	6888.03	6977.31
EL52	27534.82	25475.58	23965.76	23419.02	23816.97	23801.44	24036.54	24600.59	25162.23
EL53	4980.5	5345.34	5049.38	4943.59	4705.43	4312.51	4297.51	4159.13	3795.18
EL54	4548.25	4153.97	4044.52	3985.2	3928.76	3892.35	3870.26	3935.39	4032.21
EL61	9717.56	9297.96	8942.47	8893.53	8987.69	8842.57	8918.03	9080.51	9399.38
EL62	3421.85	3208.91	3078.63	3152.7	3085.6	3034.09	3049.68	3154.65	3294.86
EL63	9367.1	8770.14	8232.21	8088.9	8033.85	7832.28	7838.24	7947.71	8111.01
EL64	9231.88	8660.32	8167.33	7935.06	8026.88	8136.45	8312.82	8434.24	8594.47
EL65	8796.88	8343.29	8008.58	7812.44	7972.27	7934.11	8060.16	8055.71	8279.71
ES11	55767.74	53972	53925.53	54190.14	56666.4	58280.3	60394.62	62427.31	64349.11
ES12	22375.9	21364.82	20746.23	20653.06	21372.97	21694.07	22592.41	23224.86	23705.83
ES13	12623.14	12167.62	11864.05	12057.14	12325.77	12736.52	13226.25	13743.07	14168.58
ES21	64130.35	62559.25	61625.89	62677.35	64990.04	67126.55	69658.18	71924.57	74050.66
ES22	17941.74	17282.13	17238	17504.81	18146.16	18747.16	19528.83	20064.26	20901.66
ES23	7907.91	7635.89	7539.51	7685.6	7962.41	8014.19	8294.95	8602.13	8844.75
ES24	33367.97	31963.52	32082.84	32288.53	32876.07	34214.59	35638.84	36868.47	38083.92
ES30	198464.97	195026.59	192620.71	194959.97	204244.19	211672.89	222027.6	230813.06	241040.1
ES41	54575.1	52868.42	51503.91	51539.32	53238.05	54766.93	56051.33	58545.08	59852.3
ES42	38259	36889.93	36153.52	35353.33	37113.88	38315.36	39891.67	41478.96	42489.2
ES43	17737.72	17064.68	17057.45	17023.84	17902.77	18504.71	19534.34	20089.68	20516.82
ES51	198905.57	193448.96	192006.83	195369.56	204355.42	212704.42	221476	229097.94	237504.85
ES52	99706.72	95177.3	94309.49	96320.94	100110.57	103228.97	107785.84	111741.45	115407.39
ES53	26398.11	25979.41	25931.42	26769.81	28245.54	29831.36	31383.36	32740.91	34172.2
ES61	143389.59	138006.97	136048.15	137721.51	144745.24	148405.76	155371.22	160580.41	165000.18
ES62	27236.55	26508.69	26566.64	26712.38	28491.79	29369.93	30538.75	31094.3	32287.03
ES63	1575.72	1525.44	1551.67	1542.83	1596.89	1636.56	1660.31	1720.65	1770.93
ES64	1417.28	1369.96	1389.72	1402.27	1461.43	1506.52	1520.21	1578.09	1622.07
ES70	40595.34	39204.83	39032.43	39266.74	40566.24	42013.66	44205.4	45830.42	47483.44
ESZZ	1386.9	1081.83	1155.55	1115.67	1177.29	1071.2	1086.65	1091.84	1123.65
