geo	2016	2017	2018	2019	2020
FRJ1	12.7	13.5	14.2	13.0	11.5
FRJ2	11.3	7.1	7.2	7.8	7.9
FRK1	9.6	7.5	10.8	7.9	7.7
FRK2	9.8	8.9	9.9	9.4	10.2
FRL0	11.7	13.4	10.7	9.7	13.2
FRM0	11.0	9.7			18.8
FRY1	20.1	19.5	20.5	21.4	22.3
FRY2	20.3	20.4	19.3	21.1	18.5
FRY3	31.2	34.4	32.8	32.0	33.6
FRY4	22.4	25.2	27.1	25.0	24.7
HR03	17.7	17.4	14.8	11.0	9.4
HR04	16.5	14.4	13.0	12.2	13.6
HU11	7.0	6.7	6.5	5.7	6.8
HU12	5.9	6.8	7.0	8.4	10.2
HU21	8.0	8.4	10.2	8.1	10.4
HU22	7.6	9.4	7.1	5.6	6.3
HU23	13.4	15.8	15.3	17.0	13.5
HU31	15.7	16.5	16.6	17.2	17.1
HU32	16.4	15.2	14.9	16.3	18.0
HU33	12.6	9.5	8.1	9.4	9.8
IE04	11.4	10.2	10.6	13.1	14.9
IE05	11.3	11.3	10.2	10.3	10.9
IE06	13.9	11.0	9.8	8.9	11.8
IS00	4.1	3.9	4.9	4.7	6.1
ITC1	17.5	17.6	16.1	15.1	16.6
ITC2	14.5	13.1	14.1		14.7
ITC3	14.7	17.5	17.8	12.9	15.4
ITC4	15.0	14.2	13.1	12.6	15.7
ITF1	20.4	16.7	16.2	16.3	15.5
ITF2	17.2	19.9	20.5	20.3	25.5
ITF3	28.2	30.6	29.5	27.3	28.0
ITF4	25.6	27.7	23.8	23.6	22.7
ITF5	21.8	22.5	20.3	19.7	21.0
ITF6	28.0	27.8	29.9	28.4	26.5
ITG1	31.9	30.9	31.5	30.3	29.3
ITG2	24.4	24.1	21.4	21.8	19.3
ITH1	7.7	12.4	9.9	8.7	10.4
ITH2	13.0	14.8	12.7	9.8	11.6
ITH3	11.9	13.4	14.4	11.1	12.6
ITH4	13.8	13.0	11.8	12.2	11.0
ITH5	12.1	12.3	12.3	12.1	13.2
ITI1	14.9	13.3	11.9	13.0	15.2
ITI2	12.9	15.4	15.7	12.8	14.9
ITI3	13.8	13.9	13.5	11.5	14.6
ITI4	19.0	18.2	17.9	17.3	17.6
LT01	4.7	4.7	3.9	4.1	5.9
LT02	11.1	10.8	9.5	10.3	12.5
LU00	5.4	5.9	5.3	5.6	6.6
LV00	11.2	10.3	7.8	7.9	7.1
ME00	18.4	16.7	16.2	17.3	21.1
MK00	24.3	24.9	24.1	18.1	19.6
MT00	8.8	8.6	7.3	8.6	9.3
NL11	5.5	4.5	3.4	3.7	5.6
NL12	5.9	4.6	4.3	5.4	4.5
NL13	3.6	4.8	4.0	3.8	5.6
NL21	4.8	3.7	4.5	4.0	4.7
NL22	3.7	4.1	3.5	3.4	4.3
NL23	5.2	4.2	4.5	5.5	5.5
NL31	3.4	3.5	3.2	3.4	3.7
NL32	3.9	4.0	3.8	3.9	5.6
NL33	5.5	4.3	4.9	4.7	4.3
NL34	4.4		3.5		
NL41	4.2	3.7	4.1	4.3	3.9
NL42	5.4	3.8	5.6	6.3	4.6
NO01	3.5	4.0	5.0	4.5	5.2
NO02	6.4				
NO03	7.3	6.3	4.3	4.6	5.3
NO04	5.5		5.9		5.0
NO05	4.6		4.8	4.8	4.5
NO06	5.0				
NO07	6.8				
PL21	9.8	8.3	6.7	6.0	6.7
PL22	10.2	7.3	6.9	5.9	8.3
PL41	8.2	7.9	7.2	5.8	6.3
PL42	14.6	11.7	10.7	11.8	12.7
PL43	13.0	12.6	11.0	9.8	
PL51	10.6	9.6	8.1	10.0	7.4
PL52	9.6	8.3	6.7	8.4	
PL61	11.2	10.9	11.1	8.7	9.1
PL62	15.7	14.6	15.2	12.7	10.5
PL63	10.5	9.3	9.3	8.6	8.0
PL71	8.2	8.0	8.6	7.6	5.1
PL72	13.7	12.3	12.4	11.7	11.0
PL81	10.9	11.7	7.8	8.5	13.5
PL82	15.6	13.6	11.6	10.9	11.5
PL84	10.3	8.6	7.6	7.4	
PL91	3.1	3.2	3.5	3.7	4.9
PL92	10.6	10.5	10.0	9.9	11.2
PT11	11.1	9.9	8.2	7.8	8.5
PT15	13.0				12.8
PT16	9.5	8.0	7.2	6.0	8.8
PT17	8.7	8.2	7.9	8.0	8.5
PT18	10.3	9.7	9.6	9.8	7.6
PT20	19.2	18.8	17.8	17.0	17.2
PT30	16.1				
RO11	13.9	10.3	9.9	10.8	12.1
RO12	24.6	22.3	23.9	22.7	24.3
RO21	11.3	10.2	9.4	8.8	7.9
RO22	25.2	20.5	18.2	18.8	19.9
RO31	22.4	19.6	17.8	18.9	17.7
RO32	11.7	9.8	7.9	10.3	11.3
RO41	19.1	16.7	15.4	14.6	13.5
RO42	10.4	11.8	14.2	13.5	13.3
RS11	14.4	13.7	10.4	11.3	11.7
RS12	20.2	19.5	17.7	15.1	16.7
RS21	17.4	16.3	16.6	16.8	16.7
RS22	18.3	18.8	20.8	17.6	18.2
SE11	5.7	5.8	6.1	5.0	6.7
SE12	6.2	6.5	5.8	4.8	6.5
SE21	6.0	5.4	4.6	5.8	5.5
SE22	7.5	6.8	6.3	5.1	6.8
SE23	6.5	5.8	5.9	5.2	6.7
SE31	8.2	7.3	7.7	8.3	7.3
SE32	8.0	8.5	6.9		
SE33	4.9	4.1	5.7	5.9	
SI03	8.7	7.2	7.3	8.4	9.5
SI04	7.3	5.8	6.0	5.7	5.8
SK01	7.2	7.9			
SK02	8.7	7.4	6.5	7.7	7.7
SK03	11.7	11.7	10.0	7.6	10.2
SK04	17.3	17.7	15.5	16.5	15.4
TR10	20.3	19.4	19.1	19.6	21.4
TR21	17.4	21.8	18.9	21.9	24.2
TR22	21.4	19.1	21.6	23.4	26.6
TR31	19.2	20.4	19.3	22.3	25.7
TR32	17.8	19.4	18.2	21.1	22.4
TR33	19.0	22.1	24.1	24.9	24.6
TR41	22.3	21.6	21.9	25.4	26.7
TR42	20.3	19.4	19.9	22.0	25.7
TR51	19.9	21.6	19.0	21.4	22.6
TR52	20.3	22.7	24.5	24.0	23.6
TR61	18.6	20.8	20.1	20.4	22.9
TR62	25.6	24.0	25.7	25.9	30.1
TR63	25.8	26.4	26.5	29.5	32.9
