geo	2013	2014	2015	2016	2017	2018	2019
HU22	36267	37384	37921	37883	37678	35958	35072
HU23	34415	34576	34330	33594	33143	31663	30754
HU31	49080	49336	49113	48511	47522	45199	43863
HU32	63199	63263	62889	62134	61065	57878	55786
HU33	48430	48507	48304	47746	46971	44751	43553
HUZZ	0	0	0	0	0	0	0
IE04						100697	101489
IE05						188199	188989
IE06						275408	278017
IEZZ	0	0	0	0	0	0	0
IS00		29892				32421	32811
ITC1	197609	198266	198174	195116	201886	201370	198720
ITC2	5873	5981	5957	5986	5947	5888	5789
ITC3	63717	63414	63502	61949	65437	64989	64847
ITC4	473179	477350	480233	477342	497539	496219	494636
ITF1	57084	57302	57192	56789	58605	57053	57390
ITF2	12915	12659	12531	12200	13625	13218	12603
ITF3	321073	318070	312717	309895	306034	300849	291518
ITF4	202095	199490	196095	193237	193890	189732	184553
ITF5	25706	25252	24777	24393	24179	23884	23135
ITF6	94369	94003	92773	91465	92188	90503	87937
ITG1	258604	255420	251591	249146	247840	243942	237664
ITG2	68093	67901	67104	67005	69802	68187	66624
ITH1	27556	27556	27986	27771	27604	27647	27774
ITH2	27086	27028	27144	26935	27142	27012	27000
ITH3	238026	237932	238228	232920	239764	237624	235939
ITH4	51710	52048	51919	51822	55709	52724	54321
ITH5	198691	200850	202914	203991	215211	214280	212847
ITI1	162599	163904	164999	163206	169197	168756	167756
ITI2	39149	39544	39865	39437	40452	38909	38945
ITI3	68432	68251	68589	68819	70789	71888	70983
ITI4	267391	270445	271957	272397	279539	276089	273929
ITZZ	0	0	0	0	0	0	0
LI00	1969	1973	1977	1998	2005	1999	1979
LT01						37142	38228
LT02						79484	79448
LTZZ							
LU00	35250	35435	35920	36626	37452	38173	39175
LV00	114089	114660	117303	120308	121506	121674	120787
ME00						39288	39085
MK00	109945	108254	108827	105817		109818	
MT00	23655	24072	24624	25177	25796	26532	26788
NL11	38931	37559	36906	36209	35855	35667	35459
NL12	50449	49362	48065	46954	46258	45570	45161
NL13	37862	36728	35481	34886	34082	33372	32859
NL21	93796	90726	88852	86930	85720	84209	83080
NL22	156770	151508	147911	144740	142740	141511	139956
NL23	35886	35375	34448	34104	33988	33868	33696
NL31	99488	98377	97152	96450	96332	95939	95529
NL32	196382	192339	189415	188444	188570	187079	186715
NL33	262383	257635	254452	254079	255325	256673	258153
NL34	27138	26463	25737	25115	24763	24607	24497
NL41	181308	176401	172872	170172	168184	166918	165534
NL42	71461	67880	65367	64262	63305	62219	61681
NLZZ	0	2514	11250	9923	6772	7386	7850
NO01	96844	98508	101120	103976	105994	107193	108179
NO02	30162	29624	29606	29683	29667	29479	29439
NO03	79977	79993	80630	81809	82651	83233	83135
NO04	66944	67386	68477	70220	71917	72700	73408
NO05	75288	75112	75512	76526	77313	77299	77313
NO06	36680	36540	36744	37319	37970	38356	38417
NO07	39098	38754	38775	38854	39126	39095	38764
NOZZ	424993	0	0	0	0	0	0
PL21	199069	196735	208722	220561	207268	206866	211338
PL22	236536	237020	256253	279560	257420	256468	259556
PL41	208207	208935	227363	247900	226961	226735	229134
PL42	92829	91962	98194	105364	97733	95601	96947
PL43	56491	56849	61568	67324	61520	60945	61817
PL51	146896	147541	159402	173893	163123	161876	164646
PL52	49716	48957	51896	55687	50814	50429	51248
PL61	120754	119688	127112	136404	125497	123398	124606
PL62	84719	83615	88308	93910	86097	84191	85181
PL63	139530	139377	150061	162126	151109	148575	151413
PL71	132497	132026	141309	151776	140639	139315	141148
PL72	68367	66761	70900	74704	68078	67098	68079
PL81	123063	121093	128027	135232	122857	121683	123171
PL82	125543	122063	127997	133895	124092	122999	125521
PL84	64542	63868	67612	72526	66247	66268	66699
PL91	167872	174207	191330	211336	201297	200136	204080
PL92	144230	141994	150048	158595	145777	144900	147925
