geo	2013	2014	2015	2016	2017	2018	2019
HU22	24645	21656	19489	18697	17776	15206	14904
HU23	28274	25698	23924	22718	22715	23032	22972
HU31	30045	23963	21446	19558	17944	16989	16537
HU32	43581	38518	35604	33523	31382	31182	31244
HU33	33865	30229	29311	28487	28306	28231	28307
HUZZ	0	0	0	0	0	0	0
IE04						35402	34456
IE05						77911	74728
IE06						117888	123328
IEZZ	0	0	0	0	0	0	0
IS00		19901				17835	18297
ITC1	108743	113658	108342	117026	121869	127170	131326
ITC2	1311	1318	1253	1245	1168	1164	1154
ITC3	36766	36737	34982	35024	35246	36658	34415
ITC4	266197	279492	271828	288742	295094	313036	328322
ITF1	64517	63944	57114	53427	52390	50310	49265
ITF2	8667	8799	8002	8103	8108	8957	8407
ITF3	194695	198786	193369	197725	211000	218418	227318
ITF4	98720	98483	90208	89459	88643	90769	91130
ITF5	8939	8609	7742	7797	7755	7937	7772
ITF6	52573	53775	49526	48648	46141	47066	46395
ITG1	139940	137928	127885	125434	122425	121384	119324
ITG2	45744	44942	41919	41393	41143	41240	41592
ITH1	3374	3623	2897	4006	4189	4665	4735
ITH2	17975	18091	18287	17775	17751	19947	18288
ITH3	111525	115125	112399	118566	117242	118477	120980
ITH4	34445	34047	31923	32115	32257	34913	32982
ITH5	149843	152885	147332	153913	157060	164324	169485
ITI1	125463	123540	119430	123138	124709	126595	129391
ITI2	27926	26389	26460	26154	27368	26592	27113
ITI3	49886	51481	48260	50538	51184	58788	51779
ITI4	275174	282376	271604	275722	274309	277580	294502
ITZZ	50270	332	55715	0	0	0	2086
LI00	845	830	750	774	799	850	911
LT00	159695	148389	140629	133759	125863		
LT01						58361	53220
LT02						59926	58548
LTZZ							
LU00			6896	6954	7058	7043	7102
LV00	94474	89671	85881	84282	82914	81602	80355
ME00						23826	22709
MK00	60682	60572	63543	63252		60110	
MT00	12574	12610	13216	13764	14425	15220	16068
NL11	43577	44380	49633	48081	48564	49079	51402
NL12	20498	21241	24463	23718	25334	26166	25784
NL13	9825	10107	12487	12731	13015	14089	14733
NL21	41637	42624	47837	48854	51563	50455	53974
NL22	73059	77205	94018	92099	97681	100258	101148
NL23	12330	11738	13625	13954	15202	16208	16358
NL31	59737	61948	74537	74964	76650	77478	79649
