NL13	4371	4747	4344	4092	3841
NL21	8918	9193	8614	8765	8249
NL22	18480	18663	17133	17413	16210
NL23	3238	3369	3218	2983	3111
NL31	11394	11317	10301	9831	9343
NL32	19503	19532	18461	18068	17403
NL33	29598	30264	28270	28027	26773
NL34	2988	3012	2913	2919	2636
NL41	20965	21418	20161	20252	19213
NL42	10556	10201	9776	9953	9874
NO	65249	90497	91177	67691	67580
PL	494539	510926	514960	473078	435844
PT	57759			100203	98853
RO	501956	464603	453919	455246	442491
RO11	70079	65505	61247	62028	59787
RO12	56372	51697	50040	50047	47217
RO21	86732	76942	79132	77260	75355
RO22	51610	49034	48048	49132	48509
RO31	69951	65448	63942	64497	63480
RO32	55191	53494	51532	52026	50606
RO41	64091	58124	56021	57253	55392
RO42	47930	44359	43957	43003	42145
RS	76222	72242	70415	71801	74117
SE	102748	99888	100716	101403	98921
SI	31419	30360	30152	29756	30116
SI03	16538	16101	16169	16117	16407
SI04	14881	14259	13983	13639	13709
SK	78469	77281	78320	75583	74798
TR	1725186	1695419			
UK	907475	959865			
