geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
DEC0	16790.62	17057.58	17416.69	17775.88	18156.17	18622.05	19178.58	19899.47	20352.84
DED2	20617.37	21420.42	22084.7	22983.96	24084.37	25003.52	26126.32	27471.32	28925.23
DED4	17645.98	18160.92	18540.85	19152.67	19995.94	20750.72	21487.91	22241.94	23235.99
DED5	13330.57	13903.88	14582.44	15193.62	16054.57	16938.24	17779.47	18712.82	19767.7
DEE0	26555.74	27391.35	27786.96	28682.98	29708.73	30683.87	31824.16	32925.45	34127.73
DEF0	37254.93	38357.72	39345.8	40461.56	41926.87	43632.38	45586.77	48009.29	50329.54
DEG0	26681.76	27639.41	28373.65	29414.2	30587.47	31584.75	32979.98	34137.06	35234.04
DK01	51088.23	51963.54	53023.37	54574.77	56683.07	58712.59	60854.19	62717.76	64996.85
DK02	13600.11	13663.5	13742.61	13949.27	14294.72	14613.98	15028.9	15345.89	15856.34
DK03	24885.78	25055.82	25488.54	26144.1	26760.43	27701.88	28463.42	29224.76	30254.35
DK04	27803	28065.48	28267.88	28959.19	29737.49	30726.78	32050.92	33118.53	34119.69
DK05	11704.29	11892.88	12075.25	12243.25	12475.36	12954.12	13285.43	13653.6	13927.08
DKZZ	636.19	679.9	657.42	651.12	698.38	781.85	678.35	814.28	813.41
EE00	7451.6	7997	8530.8	9168.9	9761.1	10379.7	11317.7	12373.3	13556.7
EL30	35309.22	32463.02	29607.25	29366.7	28942.38	29388.4	30007.9	31057.64	31919.08
EL41	1135.22	1023.71	953.03	988.39	953.64	958.42	964.08	986.77	1014.33
EL42	2467.17	2163.87	2085.23	2185.92	2187.9	2202.75	2213.53	2309.15	2383.74
EL43	3572.86	3169.17	3035.41	3158.42	3125.63	3187.46	3246.53	3355.49	3421.27
EL51	3194.58	2916.28	2624.86	2645.75	2568.48	2630.41	2628.51	2690.49	2724.12
EL52	10462.58	9608.59	8741.31	8679.24	8751.97	9071.38	9145.71	9480.37	9701.8
EL53	1906.22	1643.81	1472.64	1565.27	1499.42	1418.79	1407.87	1397.51	1302.53
