"","Latitude","Longitude","residuals.fm2."
"1",16.2874,47.2361,-0.537313999404781
"2",4.3569,50.8401,0.188812958876623
"3",3.7883,51.3073,-0.104572392602221
"4",5.4595,51.5461,0.97066436236039
"5",5.9292,51.1854,0.621745334375347
"6",-7.6933,41.4531,0.284566896535681
"7",-8.1299,37.2026,0.186648183224201
"8",-7.9946,40.1425,-0.273729050868575
"9",-8.8878,38.6221,1.00023604291846
"10",-8.0017,38.4793,0.354748259483092
"11",-25.3659,37.7846,-0.971489567734864
"12",-16.9503,32.7326,-0.603524111960339
"13",4.9852,51.1013,-0.340025044419986
"14",23.3458,47.225,-0.35189258352847
"15",24.8114,46.186,0.477392059631899
"16",26.6947,47.0893,0.574461248908437
"17",26.9744,45.4531,0.539911597349598
"18",25.3492,44.5192,1.30594942556942
"19",26.144,44.5139,-0.608810309453206
"20",23.6859,44.5996,-0.140904652536878
"21",21.9876,45.7133,-0.241608628092747
"22",17.1607,48.2998,-0.138920528041866
"23",18.0701,48.4057,0.250046766771923
"24",4.8252,50.4595,0.419757122013565
"25",19.3647,48.796,0.106830303276842
"26",21.2527,48.9446,-0.0747916567935872
"27",1.5908,47.55,-1.28314988679549
"28",-0.8859,47.4727,-1.38723585265695
"29",-2.6897,48.0984,-1.52989472501997
"30",23.8763,43.4201,0.705310163933475
"31",5.9746,43.9434,-1.50497304536652
"32",17.2044,45.6127,0.709395229368188
"33",25.593,43.2223,0.307392553146079
"34",27.3512,43.3648,0.00353429954934235
"35",26.5534,42.4799,0.591568367558796
"36",23.3357,42.3235,-0.122135518327427
"37",25.1669,41.7421,-0.151612509546906
"38",33.1739,35.0284,-1.06860728496896
"39",15.7601,48.2589,-0.385429923719496
"40",13.4022,52.5005,-0.919961924517022
"41",12.1381,53.0836,-0.745115684977116
"42",8.7877,53.1065,-0.778444609470305
"43",10.01,53.5392,-0.706595104168783
"44",12.4675,53.7138,-1.09189570395776
"45",16.3932,48.2028,-0.705106104263463
"46",6.957,49.3922,-0.985095045200773
"47",11.6996,52.011,-0.457352684628618
"48",9.8212,54.0804,-1.07498066107507
"49",11.0218,50.9044,-0.263383686325199
"50",12.3296,55.8618,-0.939836684963202
"51",11.7509,55.4376,-0.991733685480989
"52",9.0569,55.4038,-1.02665223626912
"53",9.3996,56.2457,-1.3519878523542
"54",14.4629,46.7161,0.0951747944215749
"55",9.953,57.2719,-1.08267524235507
"56",25.8548,58.6709,0.274782320089042
"57",-7.8957,42.7431,-0.442417804819389
"58",-5.9972,43.3017,0.149050148365616
"59",-4.0606,43.1875,-0.363871749999085
"60",-2.5863,43.0651,0.291405166566259
"61",-1.6508,42.7117,0.744876270418159
"62",-2.4332,42.3132,1.22541370423698
"63",-0.6751,41.507,0.673497929816323
"64",-3.7119,40.5008,0.313856030020962
"65",15.5247,47.1818,-0.200510063725523
"66",-4.8172,41.7447,1.28900788802797
"67",-3.1358,39.2748,1.27508421934003
"68",-6.1601,39.1892,1.14738845317071
"69",1.5078,41.8005,0.504143069305542
"70",-0.54,39.3945,1.07950948085573
"71",2.9634,39.6075,0.00031527980178056
"72",-4.5804,37.4607,-0.185350802119332
"73",-1.4907,37.9999,1.03726212630556
"74",-5.3543,35.8958,-0.0380953459053296
"75",-2.9509,35.297,1.05938547791724
"76",13.9503,48.143,0.459585626031126
"77",-16.5646,28.2457,-1.24787858118891
"78",2.5234,48.7196,0.687567898292415
"79",9.0976,42.1267,-1.91458911905204
"80",15.5424,44.4289,0.0965302353029389
"81",7.9189,45.0634,0.38351304569781
"82",7.3925,45.7281,0.738382951400623
"83",8.1521,44.1573,0.348254248567836
"84",13.0002,47.2823,0.463895672277573
"85",9.773,45.6127,0.400689448342048
"86",13.8714,42.2341,-0.171963167610091
"87",14.5396,41.5949,0.108285542234094
"88",14.7373,41.0387,-0.093249102240241
"89",16.5847,41.0043,-0.526931056515568
"90",16.0794,40.5157,-0.328319847143855
"91",16.3822,39.1604,-0.642956621123787
"92",14.1658,37.5704,-0.681891873040013
"93",9.0348,40.0775,-0.59878214122041
"94",11.4241,46.7053,1.78384013904949
"95",10.7635,47.1809,0.243927958645251
"96",10.859,46.1313,0.208476913022564
"97",11.8546,45.661,0.751250081570901
"98",13.0495,46.1665,0.759884263370105
"99",11.0296,44.5224,0.260151275288296
"100",11.1306,43.4794,-0.337586669748217
"101",12.4893,42.9717,0.25021319089138
"102",13.153,43.3477,-0.281942766893609
"103",12.7501,41.9898,-0.730301374815391
"104",26.382,56.6829,0.165458466045214
"105",9.8851,47.2366,0.230491635275438
"106",6.6929,53.2675,0.404144919300061
"107",5.8002,53.0649,-0.0541651277772308
"108",6.6292,52.8638,0.335591938373919
"109",6.4397,52.4452,0.936087840745597
"110",5.9378,52.0672,0.516393382664204
"111",5.4817,52.5438,0.474249874029053
"112",5.2003,52.0749,0.414857074429672
"113",4.9123,52.5945,0.563082614140217
"114",4.4867,51.9388,1.0383116282853
