NUTS,NAME_LATN,geometry
CZ02,Střední Čechy,"list(list(c(15.14677, 15.13609, 15.14948, 15.36813, 15.37109, 15.43759, 15.40911, 15.51435, 15.49695, 15.23336, 15.20588, 14.93202, 14.76738, 14.64873, 14.27223, 13.76559, 13.75807, 13.82363, 13.80018, 13.40705, 13.65677, 14.37508, 14.48649, 14.6512, 14.76738, 14.96995, 15.14677, 50.52294, 50.46398, 50.34384, 50.27017, 50.15167, 50.10986, 50.05297, 49.95448, 49.86118, 49.74373, 49.61328, 49.5491, 49.62065, 49.52524, 49.55652, 49.51399, 49.61439, 49.70646, 49.91814, 50.08962, 50.22414, 50.39708, 50.50503, 
50.48628, 50.55475, 50.60214, 50.52294), c(14.27179, 14.27182, 14.3522, 14.46047, 14.53005, 14.63969, 14.68708, 14.5316, 14.30331, 14.27179, 50.09796, 50.04054, 49.95484, 49.97179, 50.01139, 49.99546, 50.08292, 50.17568, 50.12882, 50.09796)))"
CZ03,Jihozápad,"list(list(c(13.40705, 13.80018, 13.82363, 13.75807, 13.76559, 14.27223, 14.64873, 14.76738, 14.93202, 14.90357, 14.94367, 15.53718, 15.58676, 15.54245, 15.02439, 14.94017, 14.76738, 14.69101, 14.4874, 14.34354, 14.1123, 13.83951, 13.55158, 13.41665, 13.36559, 13.17091, 12.98456, 12.79246, 12.63376, 12.63766, 12.59378, 12.40152, 12.55099, 12.92504, 13.08794, 13.21562, 13.30137, 13.40705, 50.08962, 49.91814, 49.70646, 49.61439, 49.51399, 49.55652, 49.52524, 49.62065, 49.5491, 49.38056, 49.31737, 49.10369, 
48.94716, 48.9077, 49.00163, 48.79089, 48.71054, 48.5843, 48.63001, 48.56313, 48.59388, 48.7716, 48.96779, 48.98004, 49.06711, 49.17358, 49.3228, 49.35791, 49.47619, 49.51946, 49.54219, 49.75837, 49.90509, 49.93127, 50.02064, 50.01418, 50.09964, 50.08962)))"
CZ04,Severozápad,"list(list(c(14.48649, 14.37508, 13.65677, 13.40705, 13.30137, 13.21562, 13.08794, 12.92504, 12.55099, 12.2608, 12.16068, 12.1009, 12.3223, 12.58378, 12.81498, 12.94814, 13.05637, 13.50185, 13.65217, 13.82971, 14.36331, 14.28186, 14.31787, 14.49122, 14.58198, 14.6188, 14.37731, 14.38082, 14.48649, 50.50503, 50.39708, 50.22414, 50.08962, 50.09964, 50.01418, 50.02064, 49.93127, 49.90509, 50.05816, 50.21985, 50.31803, 50.20768, 50.40708, 50.44982, 50.40431, 50.5013, 50.63364, 50.73036, 50.73285, 50.90343, 
50.99952, 51.0547, 51.04353, 50.98158, 50.8578, 50.70042, 50.6158, 50.50503)))"
DK03,Syddanmark,"list(list(c(10.73503, 10.69169, 10.65289, 10.70149, 10.89126, 10.91178, 10.73503, 54.74956, 54.72926, 54.83792, 54.93713, 55.10246, 55.03443, 54.74956)), list(c(10.40881, 10.55244, 10.63231, 10.67743, 10.80444, 10.63752, 10.40881, 10.13412, 10.11979, 10.04615, 9.89153, 9.76364, 10.40881, 55.59131, 55.45958, 55.57057, 55.55296, 55.17779, 54.95375, 55.04246, 55.05841, 55.17779, 55.17779, 55.2524, 55.52716, 55.59131)), list(c(10.46664, 10.41114, 10.30467, 10.32849, 10.46664, 54.88936, 54.81231, 54.89988, 
54.92017, 54.88936)), list(c(9.67217, 9.78069, 9.61379, 9.69339, 9.64365, 9.63754, 9.62879, 9.62533, 9.56083, 9.55665, 9.80696, 9.95957, 10.03369, 9.71608, 9.60116, 9.57876, 9.42015, 9.29405, 9.1131, 9.02821, 8.63593, 8.64857, 8.52248, 8.42675, 8.28827, 8.21671, 8.10064, 8.19581, 8.45245, 9.38701, 9.44779, 9.67217, 55.71203, 55.59791, 55.41112, 55.25846, 55.17779, 55.17779, 55.17779, 55.17779, 55.17779, 55.04278, 55.06425, 55.00032, 54.89016, 54.85145, 54.88555, 54.89247, 54.83196, 54.81052, 54.8736, 
54.88065, 54.91168, 55.37108, 55.45004, 55.36603, 55.56691, 55.51927, 55.55988, 55.83232, 55.78919, 55.92415, 55.84185, 55.71203)), list(c(8.57284, 8.52092, 8.45979, 8.48758, 8.59654, 8.55342, 8.57284, 55.08161, 55.05616, 55.10526, 55.20104, 55.19527, 55.14122, 55.08161)))"
DK04,Midtjylland,"list(list(c(11.59468, 11.5985, 11.51087, 11.45407, 11.59468, 56.74416, 56.66191, 56.67301, 56.73186, 56.74416)), list(c(9.31946, 9.52752, 9.79582, 10.19436, 10.30688, 10.45848, 10.82327, 10.91114, 10.7155, 10.60214, 10.50795, 10.43279, 10.28099, 10.21669, 9.97437, 9.98589, 9.67217, 9.44779, 9.38701, 8.45245, 8.19581, 8.34379, 8.13048, 8.19787, 8.13564, 8.20124, 8.66782, 8.72922, 8.76277, 9.00695, 9.13263, 9.12643, 9.31946, 56.67209, 56.66477, 56.56161, 56.68466, 56.68019, 56.52964, 56.51337, 56.37481, 
56.1828, 56.19659, 56.13586, 56.27414, 56.18696, 55.88504, 55.84637, 55.7143, 55.71203, 55.84185, 55.92415, 55.78919, 55.83232, 55.9368, 56.16611, 56.36175, 56.51854, 56.65652, 56.4802, 56.50852, 56.64974, 56.82479, 56.72371, 56.61675, 56.67209)), list(c(10.6356, 10.53947, 10.52576, 10.61374, 10.68108, 10.6356, 55.78535, 55.77948, 55.8419, 55.90337, 55.89609, 55.78535)), list(c(10.60041, 10.50924, 10.48883, 10.57856, 10.60041, 55.94702, 55.91497, 55.97967, 56.03933, 55.94702)), list(c(8.59464, 8.51582, 
8.44051, 8.58544, 8.59464, 56.60148, 56.58591, 56.66996, 56.69376, 56.60148)))"
DK05,Nordjylland,"list(list(c(11.22294, 11.16377, 11.12712, 11.14594, 11.22905, 11.22294, 57.2715, 57.237, 57.30726, 57.34676, 57.34682, 57.2715)), list(c(11.09601, 11.03865, 10.8748, 10.91822, 11.07861, 11.09601, 57.26031, 57.20211, 57.25427, 57.29845, 57.31789, 57.26031)), list(c(10.19436, 9.79582, 9.52752, 9.31946, 9.21298, 9.18883, 9.11509, 8.94653, 8.8251, 8.71061, 8.38225, 8.27731, 8.5781, 9.3923, 9.95365, 10.45794, 10.5264, 10.29672, 10.27976, 10.19436, 56.68466, 56.56161, 56.66477, 56.67209, 56.79998, 56.96718, 
57.00258, 56.97075, 56.76907, 56.69494, 56.69615, 56.8245, 57.09474, 57.17246, 57.57046, 57.67627, 57.28031, 56.95093, 56.7373, 56.68466)))"
EE00,Eesti,"list(list(c(25.83016, 25.89485, 26.75936, 26.96498, 27.83301, 28.04192, 28.18166, 28.16405, 27.92639, 27.70785, 27.35705, 27.52255, 27.53048, 27.73993, 27.54401, 27.40346, 27.35158, 26.91224, 26.52541, 26.29456, 26.02568, 25.89485, 25.3591, 25.04631, 24.83408, 24.35282, 24.50503, 24.35174, 24.04261, 23.80372, 23.55093, 23.59985, 23.42916, 23.5172, 23.73058, 24.07682, 24.06379, 24.21822, 24.427, 24.78, 24.83415, 25.12264, 25.41976, 25.55576, 25.67863, 25.72608, 25.83016, 59.56406, 59.61577, 59.49943, 
59.43854, 59.3986, 59.47012, 59.39504, 59.33012, 59.24803, 58.96634, 58.78714, 58.41585, 58.18636, 57.88282, 57.80197, 57.66265, 57.51824, 57.62084, 57.52624, 57.60186, 57.84298, 57.84994, 58.04579, 58.04015, 57.97278, 57.87656, 58.3288, 58.35574, 58.27721, 58.34862, 58.61057, 58.76865, 58.75018, 59.17806, 59.23732, 59.2939, 59.37518, 59.35667, 59.47273, 59.45639, 59.55559, 59.48496, 59.50498, 59.59858, 59.5792, 59.64038, 59.56406)), list(c(24.5724, 24.48548, 24.43504, 24.50369, 24.5724, 59.55025, 
59.52937, 59.57357, 59.64378, 59.55025)), list(c(24.03075, 23.95088, 23.92799, 23.94827, 24.04872, 24.03075, 58.10564, 58.07454, 58.10885, 58.16781, 58.17167, 58.10564)), list(c(23.35587, 23.37659, 23.16753, 23.14265, 23.2466, 23.24279, 23.05839, 22.69649, 22.30669, 22.17577, 22.03706, 22.0238, 22.18022, 21.87893, 21.97655, 21.92212, 22.0792, 22.20135, 22.29691, 22.3125, 22.55183, 22.97654, 23.25277, 23.35587, 58.62344, 58.51885, 58.55141, 58.51885, 58.46857, 58.43486, 58.39251, 58.22474, 58.19508, 
57.98121, 57.92913, 58.0012, 58.131, 58.27461, 58.35848, 58.48559, 58.44121, 58.51885, 58.4927, 58.51885, 58.62041, 58.60446, 58.66907, 58.62344)), list(c(23.1536, 23.2741, 23.34546, 23.35686, 23.1641, 23.10002, 23.1536, 59.05416, 59.02371, 59.03527, 58.98523, 58.96889, 59.02664, 59.05416)), list(c(22.61957, 22.98119, 23.03169, 23.05952, 22.98119, 22.56298, 22.48182, 22.39986, 22.33295, 22.61957, 59.08452, 58.91643, 58.91823, 58.84292, 58.84499, 58.69053, 58.72291, 58.87473, 58.91256, 59.08452)))"
EL30,Attiki,"list(list(c(23.74359, 23.67223, 23.46289, 23.49145, 23.57139, 23.59695, 23.1797, 23.11753, 23.20904, 23.12618, 23.35459, 23.52419, 23.63449, 23.69042, 24.03983, 24.05424, 23.97178, 23.74359, 37.85381, 37.94182, 37.92109, 37.97702, 37.99322, 38.01517, 37.95159, 38.06065, 38.12646, 38.1684, 38.25784, 38.14253, 38.21134, 38.3403, 38.19341, 37.71471, 37.6736, 37.85381)), list(c(24.00578, 23.90582, 23.85157, 23.96106, 24.00578, 37.44507, 37.4308, 37.49808, 37.51647, 37.44507)), list(c(23.98504, 23.89073, 
23.8283, 23.92232, 23.98504, 36.81342, 36.78627, 36.85048, 36.88178, 36.81342)), list(c(23.5295, 23.47935, 23.4101, 23.54297, 23.5295, 37.68853, 37.66663, 37.76474, 37.77122, 37.68853)), list(c(23.50029, 23.53843, 23.44628, 23.41445, 23.50029, 36.93582, 36.83235, 36.85269, 36.94037, 36.93582)), list(c(23.51994, 23.53605, 23.40724, 23.44349, 23.51994, 37.38444, 37.28717, 37.32821, 37.3842, 37.38444)), list(c(23.42442, 23.42154, 23.19823, 23.20038, 23.31486, 23.31736, 23.39932, 23.38808, 23.47036, 
23.42442, 37.4117, 37.46013, 37.53295, 37.59665, 37.5558, 37.62041, 37.62976, 37.52844, 37.46085, 37.4117)), list(c(23.2092, 23.17116, 23.10464, 23.08432, 23.11518, 23.2092, 37.27425, 37.20759, 37.20879, 37.26059, 37.3033, 37.27425)), list(c(23.05459, 23.04624, 22.94355, 22.90195, 22.89253, 22.95091, 23.00185, 23.08843, 23.05459, 36.21773, 36.13209, 36.15781, 36.232, 36.32093, 36.38196, 36.30951, 36.24794, 36.21773)))"
EL41,Voreio Aigaio,"list(list(c(26.98182, 26.83131, 26.61489, 26.60203, 26.76998, 26.97973, 26.98182, 37.71365, 37.64868, 37.71614, 37.7331, 37.80994, 37.74808, 37.71365)), list(c(26.40762, 26.59401, 26.51536, 26.16605, 26.16588, 26.03786, 25.85776, 25.90417, 26.17048, 26.18789, 26.34048, 26.41937, 26.40762, 39.26721, 39.04396, 38.97774, 39.02812, 39.15447, 39.09706, 39.18296, 39.2734, 39.32652, 39.37335, 39.38235, 39.32652, 39.26721)), list(c(26.10605, 26.05641, 25.96169, 26.05756, 26.20338, 26.3067, 26.35167, 26.21872, 
26.10605, 37.551, 37.51139, 37.51506, 37.62897, 37.6299, 37.68567, 37.65894, 37.56615, 37.551)), list(c(26.00323, 26.11524, 26.16582, 26.13575, 26.15856, 26.10578, 26.10032, 26.0119, 25.86444, 25.9934, 25.98965, 25.83035, 25.8489, 26.00323, 38.60629, 38.54475, 38.55454, 38.4158, 38.30876, 38.2711, 38.21018, 38.1474, 38.24275, 38.34273, 38.3887, 38.54498, 38.57613, 38.60629)), list(c(25.63808, 25.62264, 25.54052, 25.53222, 25.59318, 25.63808, 38.59764, 38.51647, 38.53748, 38.58781, 38.62881, 38.59764
)), list(c(25.16736, 25.29714, 25.39757, 25.41887, 25.34263, 25.23345, 25.16736, 25.05248, 25.07097, 25.16736, 39.99206, 39.95973, 39.98929, 39.96409, 39.80768, 39.89328, 39.79886, 39.90756, 39.97491, 39.99206)), list(c(25.07764, 24.97847, 24.95589, 25.00574, 25.07764, 39.53676, 39.43916, 39.49737, 39.58054, 39.53676)))"
AL01,Veri,"list(list(c(19.831, 20.0763, 20.26541, 20.48537, 20.58866, 20.59032, 20.59429, 20.56287, 20.52394, 20.53707, 20.54828, 20.55777, 20.47589, 20.54011, 20.50166, 20.42132, 20.23617, 19.90835, 19.85654, 19.70739, 19.63416, 19.60456, 19.5178, 19.42949, 19.55733, 19.56425, 19.57165, 19.58914, 19.52007, 19.37253, 19.3758, 19.37806, 19.32247, 19.4715, 19.61679, 19.72706, 19.73314, 19.73492, 19.831, 42.46645, 42.55582, 42.40026, 42.21932, 42.03001, 41.98489, 41.87733, 41.84614, 41.72305, 41.66826, 41.62148, 
41.58187, 41.54348, 41.40407, 41.31715, 41.38201, 41.34849, 41.51193, 41.45144, 41.41505, 41.42077, 41.28554, 41.26866, 41.36917, 41.57767, 41.62148, 41.66826, 41.7789, 41.84031, 41.84415, 41.98489, 42.08201, 42.21932, 42.40026, 42.57666, 42.63238, 42.63545, 42.63238, 42.46645)))"
