NUTS,NAME_LATN,geometry
FRJ1,Languedoc-Roussillon,"list(list(c(4.64923, 4.79785, 4.73906, 4.61466, 4.49058, 4.29025, 4.23028, 4.15988, 4.10108, 3.94986, 3.91391, 3.79704, 3.64482, 3.54929, 3.24052, 3.06688, 3.04341, 3.04051, 3.04624, 3.04791, 3.1748, 2.88352, 2.71484, 2.55336, 2.34727, 2.29607, 2.23482, 2.14453, 2.03522, 1.9858, 1.91639, 1.73101, 1.7258, 1.7861, 2.03328, 2.16605, 1.89964, 1.98211, 1.96646, 1.68842, 1.85244, 2.02913, 2.29607, 2.56578, 2.64518, 2.64622, 2.64939, 2.79309, 2.93546, 3.04756, 3.08701, 3.35836, 3.42647, 3.32062, 3.37365, 
3.17478, 3.1212, 2.98168, 3.1064, 3.36135, 3.47949, 3.73443, 3.86253, 3.99816, 4.08141, 4.19785, 4.50722, 4.64923, 44.27036, 44.02123, 43.92406, 43.70104, 43.68372, 43.51169, 43.46018, 43.51169, 43.55471, 43.5297, 43.51169, 43.44171, 43.38208, 43.31054, 43.21287, 42.99934, 42.83817, 42.80186, 42.63238, 42.58306, 42.43537, 42.46067, 42.40026, 42.34244, 42.40026, 42.41463, 42.43181, 42.40026, 42.36207, 42.40026, 42.4539, 42.4924, 42.5044, 42.57366, 42.63238, 42.66392, 42.80186, 42.90218, 43.07351, 
43.27355, 43.42619, 43.4369, 43.42996, 43.42296, 43.47022, 43.51169, 43.63814, 43.627, 43.69466, 43.70804, 43.82368, 43.91383, 44.01726, 44.13358, 44.17076, 44.24483, 44.4516, 44.64467, 44.86231, 44.97141, 44.84317, 44.82521, 44.74387, 44.4598, 44.33509, 44.28577, 44.32882, 44.27036)))"
FRJ2,Midi-Pyrénées,"list(list(c(2.06291, 2.20747, 2.29607, 2.49319, 2.72751, 2.8603, 2.98168, 3.1212, 3.17478, 3.37365, 3.32062, 3.42647, 3.35836, 3.08701, 3.04756, 2.93546, 2.79309, 2.64939, 2.64622, 2.64518, 2.56578, 2.29607, 2.02913, 1.85244, 1.68842, 1.96646, 1.98211, 1.89964, 2.16605, 2.03328, 1.7861, 1.56476, 1.52727, 1.50547, 1.44257, 1.41059, 1.32265, 0.90645, 0.85822, 0.71454, 0.67004, 0.66013, 0.47776, 0.26189, -0.01216, -0.31334, -0.29486, -0.24983, -0.074, -0.15024, -0.01432, -0.07194, -0.09679, -0.24283, 
-0.19014, -0.04571, 0.05153, 0.07604, 0.26189, 0.74189, 0.89206, 0.92527, 1.05185, 1.02186, 1.07514, 1.41859, 1.44826, 1.61646, 1.78438, 2.06291, 44.9765, 44.61553, 44.63208, 44.66892, 44.92175, 44.85416, 44.64467, 44.4516, 44.24483, 44.17076, 44.13358, 44.01726, 43.91383, 43.82368, 43.70804, 43.69466, 43.627, 43.63814, 43.51169, 43.47022, 43.42296, 43.42996, 43.4369, 43.42619, 43.27355, 43.07351, 42.90218, 42.80186, 42.66392, 42.63238, 42.57366, 42.63238, 42.64232, 42.63238, 42.60367, 42.63238, 
42.71132, 42.81386, 42.82574, 42.8536, 42.80186, 42.69095, 42.70002, 42.69995, 42.69987, 42.84936, 42.89774, 43.01554, 43.20087, 43.29493, 43.34769, 43.51169, 43.5824, 43.58498, 43.89789, 43.96335, 43.91819, 43.98314, 44.00604, 44.0652, 44.16776, 44.34294, 44.36387, 44.511, 44.57733, 44.87279, 45.01931, 45.03025, 44.93746, 44.9765)))"
FRK1,Auvergne,"list(list(c(3.62942, 3.64544, 3.72154, 3.74279, 3.99144, 3.98571, 3.89954, 3.80737, 3.8064, 3.69402, 3.71865, 3.96868, 3.89741, 4.26855, 4.48313, 4.27091, 3.86253, 3.73443, 3.47949, 3.36135, 3.1064, 2.98168, 2.8603, 2.72751, 2.49319, 2.29607, 2.20747, 2.06291, 2.22855, 2.29607, 2.47818, 2.50813, 2.49213, 2.43364, 2.59497, 2.56537, 2.28104, 2.57003, 2.68763, 3.03206, 3.23195, 3.51524, 3.62942, 46.74946, 46.70075, 46.62529, 46.54907, 46.46426, 46.32815, 46.27591, 46.2312, 46.00004, 45.93073, 45.77658, 
45.51449, 45.35708, 45.3786, 45.23645, 44.98105, 44.74387, 44.82521, 44.84317, 44.97141, 44.86231, 44.64467, 44.85416, 44.92175, 44.66892, 44.63208, 44.61553, 44.9765, 45.24861, 45.28912, 45.39839, 45.48017, 45.73767, 45.8158, 45.98113, 46.14304, 46.4204, 46.55381, 46.71065, 46.79491, 46.69355, 46.6864, 46.74946)))"
FRK2,Rhône-Alpes,"list(list(c(5.31056, 5.49627, 5.6431, 5.85188, 6.064, 6.14275, 6.12561, 5.95607, 6.234, 6.21955, 6.5013, 6.82106, 6.81706, 7.04489, 6.80237, 6.9809, 7.01186, 7.10472, 7.16302, 7.09651, 6.63005, 6.43231, 6.26057, 6.23879, 6.3277, 6.32584, 6.00727, 5.80147, 5.63917, 5.60614, 5.45181, 5.45926, 5.63685, 5.68111, 5.49879, 5.03987, 4.98398, 4.89878, 4.87595, 4.65061, 4.64923, 4.50722, 4.19785, 4.08141, 3.99816, 3.86253, 4.27091, 4.48313, 4.26855, 3.89741, 3.96868, 3.71865, 3.69402, 3.8064, 3.80737, 3.89954, 
3.98792, 4.28472, 4.38807, 4.42879, 4.65081, 4.78021, 4.94291, 5.15205, 5.31056, 46.44677, 46.271, 46.31957, 46.26911, 46.41623, 46.37156, 46.31723, 46.1321, 46.19711, 46.31188, 46.44921, 46.42715, 46.15744, 45.92241, 45.77856, 45.62729, 45.51196, 45.46845, 45.40355, 45.23238, 45.10986, 45.06386, 45.12684, 45.04197, 44.95688, 44.88488, 44.82202, 44.70678, 44.62777, 44.48593, 44.447, 44.36555, 44.30084, 44.1899, 44.11572, 44.30981, 44.41038, 44.36498, 44.24623, 44.3298, 44.27036, 44.32882, 44.28577, 
44.33509, 44.4598, 44.74387, 44.98105, 45.23645, 45.3786, 45.35708, 45.51449, 45.77658, 45.93073, 46.00004, 46.2312, 46.27591, 46.17894, 46.17069, 46.21979, 46.28525, 46.28784, 46.17668, 46.49754, 46.50533, 46.44677)))"
FRL0,Provence-Alpes-Côte d’Azur,"list(list(c(6.26057, 6.43231, 6.63005, 6.77927, 7.00892, 7.06576, 6.94844, 6.87458, 6.88743, 7.03666, 7.38429, 7.60291, 7.71424, 7.52208, 7.52983, 7.43925, 7.43736, 7.41338, 7.41283, 7.41028, 7.4157, 7.17128, 6.97737, 6.93133, 6.90039, 6.72264, 6.63763, 6.29353, 5.83112, 5.67188, 5.39994, 5.30359, 5.07058, 4.89313, 4.66734, 4.52787, 4.23028, 4.29025, 4.49058, 4.61466, 4.73906, 4.79785, 4.64923, 4.65061, 4.87595, 4.89878, 4.98398, 5.03987, 5.49879, 5.68111, 5.63685, 5.45926, 5.45181, 5.60614, 5.63917, 
5.80147, 6.00727, 6.32584, 6.3277, 6.23879, 6.26057, 45.12684, 45.06386, 45.10986, 44.89676, 44.83099, 44.71346, 44.65474, 44.52314, 44.36129, 44.23343, 44.12332, 44.14254, 44.06151, 43.88939, 43.78401, 43.74902, 43.75163, 43.73458, 43.73171, 43.72935, 43.72591, 43.64405, 43.51169, 43.48026, 43.44171, 43.3848, 43.17733, 43.10803, 43.06291, 43.17927, 43.21227, 43.33174, 43.33823, 43.4213, 43.36425, 43.44121, 43.46018, 43.51169, 43.68372, 43.70104, 43.92406, 44.02123, 44.27036, 44.3298, 44.24623, 44.36498, 
44.41038, 44.30981, 44.11572, 44.1899, 44.30084, 44.36555, 44.447, 44.48593, 44.62777, 44.70678, 44.82202, 44.88488, 44.95688, 45.04197, 45.12684)))"
FRM0,Corse,"list(list(c(8.59188, 8.76165, 8.91009, 9.10158, 9.29036, 9.35207, 9.41006, 9.46487, 9.49602, 9.52347, 9.54391, 9.4563, 9.4022, 9.3804, 9.35394, 9.20677, 8.8282, 8.79667, 8.8549, 8.67426, 8.59188, 42.37445, 42.55906, 42.63238, 42.71268, 42.71963, 42.93648, 42.96443, 42.89577, 42.63238, 42.40026, 42.2274, 41.98489, 41.85867, 41.66826, 41.62148, 41.39771, 41.54631, 41.62148, 41.66826, 41.94877, 42.37445)))"
FRY1,Guadeloupe,"list(list(c(-61.19762, -61.28064, -61.34471, -61.2775, -61.19113, -61.19762, 15.89855, 15.86011, 15.94002, 16.01405, 15.94002, 15.89855)), list(c(-61.5357, -61.4717, -61.41223, -61.37635, -61.25896, -61.25553, -61.4654, -61.58319, -61.55664, -61.61966, -61.70689, -61.76974, -61.78285, -61.80906, -61.7427, -61.59608, -61.49345, -61.5357, 16.45306, 16.50996, 16.46939, 16.34152, 16.30161, 16.25379, 16.19786, 16.23441, 16.05198, 15.97229, 15.94898, 16.05937, 16.21391, 16.27198, 16.36136, 16.28592, 16.3537, 
16.45306)), list(c(-63.08825, -63.08476, -63.0485, -63.01907, -63.08825, 18.04626, 18.08166, 18.10581, 18.0563, 18.04626)))"
FRY2,Martinique,"list(list(c(-61.23436, -61.14192, -61.03056, -60.9564, -60.90297, -60.88555, -60.80611, -60.8715, -60.90913, -61.08345, -61.0895, -61.01723, -61.15422, -61.18342, -61.23436, 14.82595, 14.88369, 14.83476, 14.74044, 14.74865, 14.64431, 14.47657, 14.39112, 14.45689, 14.46732, 14.53083, 14.56902, 14.64929, 14.75203, 14.82595)))"
FRY3,Guyane,"list(list(c(-52.66422, -52.93755, -53.21341, -53.31414, -53.5139, -53.76527, -54.13153, -54.32234, -54.58789, -54.38178, -54.21291, -54.17907, -54.04879, -53.99186, -54.33187, -54.438, -54.47349, -54.41642, -54.00565, -53.98228, -53.90694, -53.47574, -53.21341, -52.93295, -52.39054, -51.84582, -51.7537, -51.63644, -51.65546, -52.31844, -52.55546, -52.66422, 2.38742, 2.18479, 2.20668, 2.32158, 2.26141, 2.35585, 2.12618, 2.16114, 2.32207, 2.48648, 2.7846, 3.1922, 3.35195, 3.56898, 4.03028, 4.4279, 
4.8646, 5.06351, 5.60254, 5.71165, 5.73585, 5.57116, 5.5348, 5.43505, 4.95231, 4.65127, 4.4279, 4.20374, 4.05599, 3.17921, 2.53595, 2.38742)))"
FRY4,La Réunion,"list(list(c(55.21471, 55.27392, 55.2851, 55.32105, 55.45058, 55.64862, 55.70812, 55.83808, 55.804, 55.81053, 55.77649, 55.64759, 55.46087, 55.33833, 55.29245, 55.28514, 55.21471, -21.03851, -21.00057, -20.9236, -20.93216, -20.86976, -20.91396, -21.02544, -21.18355, -21.26177, -21.3348, -21.36624, -21.39077, -21.34337, -21.28151, -21.23123, -21.1622, -21.03851)))"
FRY5,Mayotte,"list(list(c(45.22184, 45.1538, 45.10799, 45.13765, 45.09379, 45.10056, 45.04322, 45.09569, 45.15595, 45.23586, 45.22184, -12.87227, -12.99412, -12.9868, -12.89078, -12.85246, -12.76606, -12.72285, -12.67003, -12.73525, -12.75291, -12.87227)))"
HR03,Jadranska Hrvatska,"list(list(c(18.4381, 18.52521, 18.13322, 17.88212, 17.60811, 17.62496, 17.63004, 17.6355, 17.64088, 17.64568, 17.64916, 17.83304, 18.2111, 18.22363, 18.4381, 42.5557, 42.42046, 42.63238, 42.76812, 42.84574, 42.88407, 42.88187, 42.88128, 42.88238, 42.88506, 42.88892, 42.88596, 42.63238, 42.62398, 42.5557)), list(c(15.22644, 15.15282, 14.99578, 15.01663, 15.22883, 15.46373, 15.73672, 15.7591, 15.78471, 15.94402, 16.09406, 16.13055, 16.13218, 16.2014, 16.17245, 16.21479, 16.26233, 16.54435, 17.01703, 
17.16299, 17.28521, 17.29189, 17.45085, 17.65792, 17.58098, 17.57818, 17.57295, 17.56866, 17.56575, 17.5645, 17.56505, 17.56733, 17.57112, 17.57604, 17.54707, 17.37907, 17.44427, 17.35605, 16.96386, 16.56465, 16.5465, 16.65829, 16.50583, 16.01653, 15.83374, 15.55888, 15.38982, 15.18807, 15.22212, 15.35249, 15.28948, 14.95099, 14.88128, 14.75813, 14.74251, 14.53712, 14.50654, 14.39529, 14.30357, 14.2264, 13.9872, 13.94435, 13.91693, 13.8561, 13.59648, 13.52256, 13.6513, 14.11128, 14.1182, 14.38718, 
14.57001, 14.76738, 14.84301, 14.97723, 15.22644, 45.42709, 45.30592, 45.28572, 45.12303, 45.08889, 44.93924, 44.93563, 44.88632, 44.76721, 44.70656, 44.53134, 44.49602, 44.45453, 44.34416, 44.20922, 44.21331, 44.17789, 43.97418, 43.57374, 43.51169, 43.45973, 43.33642, 43.17687, 43.02423, 42.93824, 42.93802, 42.93583, 42.93211, 42.92725, 42.92171, 42.91607, 42.91088, 42.90665, 42.90382, 42.86303, 42.91062, 42.98597, 43.08416, 43.28801, 43.30066, 43.35399, 43.40355, 43.48777, 43.50191, 43.72228, 43.87188, 
43.92531, 44.15295, 44.25218, 44.29871, 44.36324, 44.55861, 45.03115, 45.10303, 44.99423, 45.04288, 45.23901, 45.31104, 45.28584, 45.15378, 44.83099, 44.78043, 44.82023, 44.83099, 45.17254, 45.46399, 45.45405, 45.48234, 45.48124, 45.49946, 45.67294, 45.51177, 45.47164, 45.51311, 45.42709)), list(c(17.22772, 17.23168, 17.15169, 16.68306, 16.65635, 16.68108, 16.77974, 16.94701, 17.05652, 17.22772, 42.99128, 42.95771, 42.91302, 42.90836, 42.95531, 42.99067, 42.97059, 42.97167, 43.0395, 42.99128)), list(
    c(16.98424, 16.99502, 16.80153, 16.78305, 16.79438, 16.98424, 43.15325, 43.11158, 43.12146, 43.14586, 43.16188, 43.15325)), list(c(16.65624, 16.73732, 16.68861, 16.4328, 16.41768, 16.45127, 16.5674, 16.65624, 43.22005, 43.13656, 43.11823, 43.15945, 43.17886, 43.20934, 43.17819, 43.22005)), list(c(16.41154, 16.28741, 16.24694, 16.38232, 16.41154, 42.35287, 42.34382, 42.38442, 42.42368, 42.35287)), list(c(16.37739, 16.33959, 16.21433, 16.24709, 16.33815, 16.37739, 43.36075, 43.32685, 43.39529, 
43.4264, 43.40433, 43.36075)), list(c(16.23211, 16.07625, 16.05636, 16.11714, 16.24051, 16.23211, 43.01812, 43.00893, 43.0518, 43.07751, 43.07041, 43.01812)), list(c(15.32958, 15.3414, 15.22689, 15.22543, 15.32958, 43.89158, 43.76605, 43.82522, 43.87042, 43.89158)), list(c(15.26284, 15.20018, 15.10111, 15.01877, 15.07211, 15.1228, 15.10474, 15.26284, 43.89607, 43.85924, 43.92649, 44.02742, 44.08443, 44.04213, 43.98967, 43.89607)), list(c(15.17479, 15.18197, 15.113, 15.0277, 15.04672, 15.17479, 44.39651, 
44.31687, 44.33049, 44.42455, 44.47774, 44.39651)), list(c(14.93988, 14.95616, 14.86635, 14.84139, 14.93988, 44.20265, 44.07688, 44.11158, 44.15423, 44.20265)), list(c(14.79681, 14.72639, 14.67735, 14.79715, 14.79681, 44.77684, 44.75348, 44.82325, 44.86111, 44.77684)), list(c(14.63894, 14.54967, 14.50899, 14.56854, 14.63894, 44.37067, 44.36083, 44.43741, 44.47533, 44.37067)), list(c(14.42822, 14.4572, 14.32453, 14.37427, 14.31746, 14.39448, 14.39585, 14.45507, 14.4621, 14.50291, 14.42822, 44.61556, 
44.53671, 44.55511, 44.64089, 44.9122, 44.93229, 44.98565, 44.95709, 44.83055, 44.62354, 44.61556)), list(c(14.37674, 14.35792, 14.26658, 14.32143, 14.37674, 45.14949, 45.04596, 45.12221, 45.18343, 45.14949)))"
HR02,Panonska Hrvatska,"list(list(c(17.29433, 17.55552, 17.6515, 17.91209, 18.43862, 18.66146, 18.82131, 18.88973, 18.95213, 18.92278, 19.06542, 19.03394, 19.00526, 18.99752, 19.13175, 19.39102, 19.42517, 19.11097, 19.12975, 19.00105, 19.02207, 18.86044, 18.79705, 18.75221, 18.52967, 18.25464, 18.15078, 18.01782, 17.83258, 17.68255, 17.14119, 16.94425, 16.79951, 16.55582, 16.29758, 16.01453, 15.84002, 15.73672, 15.46373, 15.22883, 15.01663, 14.99578, 15.15282, 15.22644, 15.35937, 15.29476, 15.28446, 15.33129, 15.55047, 
15.67938, 15.77814, 15.88913, 15.92211, 16.06783, 16.14521, 16.49094, 16.60992, 16.51571, 16.68657, 16.7022, 16.73441, 16.84512, 16.99597, 17.12205, 17.29433, 45.98854, 45.93119, 45.84784, 45.79078, 45.75379, 45.89841, 45.91438, 45.92118, 45.65695, 45.58016, 45.52144, 45.48682, 45.43463, 45.38641, 45.29248, 45.22953, 45.16769, 45.13392, 44.9534, 44.88632, 44.85535, 44.85519, 44.88632, 45.01881, 45.08751, 45.12104, 45.08323, 45.13266, 45.05947, 45.11957, 45.16329, 45.24588, 45.19604, 45.22037, 45.00287, 
45.19505, 45.22447, 44.93563, 44.93924, 45.08889, 45.12303, 45.28572, 45.30592, 45.42709, 45.48526, 45.59052, 45.72598, 45.76285, 45.60603, 45.60314, 45.53542, 45.52819, 45.47859, 45.48515, 45.62163, 45.58528, 45.67036, 45.76399, 45.85186, 45.92312, 46.03074, 46.0697, 45.9682, 45.88336, 45.98854)))"
HU11,Budapest,"list(list(c(18.92485, 18.92674, 19.09873, 19.19365, 19.32123, 19.33761, 19.23831, 19.1408, 19.08113, 18.97755, 18.97672, 18.92485, 47.52334, 47.57304, 47.61486, 47.53913, 47.51578, 47.46288, 47.42436, 47.34752, 47.40343, 47.38228, 47.46855, 47.52334)))"
HU12,Pest,"list(list(c(19.57094, 19.60718, 19.66633, 19.9855, 20.08037, 20.09469, 19.7922, 19.55185, 19.34062, 19.24642, 18.96591, 18.88528, 18.8966, 18.68843, 18.86302, 18.90549, 18.84848, 18.77973, 18.78245, 18.92839, 18.98219, 18.96611, 19.04945, 19.39522, 19.48339, 19.57094, 47.7349, 47.66731, 47.58855, 47.33583, 47.19243, 47.00741, 46.95454, 47.11562, 47.02846, 47.11952, 47.02896, 47.12421, 47.28374, 47.57707, 47.66731, 47.75995, 47.81823, 47.8755, 47.96074, 48.05683, 48.01525, 47.93556, 47.87914, 47.81357, 
47.7207, 47.7349), c(18.92485, 18.97672, 18.97755, 19.08113, 19.1408, 19.23831, 19.33761, 19.32123, 19.19365, 19.09873, 18.92674, 18.92485, 47.52334, 47.46855, 47.38228, 47.40343, 47.34752, 47.42436, 47.46288, 47.51578, 47.53913, 47.61486, 47.57304, 47.52334)))"
HU21,Közép-Dunántúl,"list(list(c(18.68843, 18.8966, 18.88528, 18.96591, 18.9251, 18.66164, 18.55679, 18.2109, 18.20525, 17.41907, 17.22413, 17.07453, 17.20758, 17.23455, 17.17239, 17.70746, 17.76579, 17.88389, 17.89847, 17.89392, 18.31527, 18.84848, 18.90549, 18.86302, 18.68843, 47.57707, 47.28374, 47.12421, 47.02896, 46.85717, 46.7038, 46.77009, 46.77816, 46.97163, 46.75066, 46.96725, 47.04871, 47.11003, 47.33622, 47.43248, 47.45604, 47.32771, 47.38959, 47.66731, 47.73946, 47.73711, 47.81823, 47.75995, 47.66731, 47.57707
)))"
HU22,Nyugat-Dunántúl,"list(list(c(17.89392, 17.89847, 17.88389, 17.76579, 17.70746, 17.17239, 17.23455, 17.20758, 17.07453, 17.22413, 17.41907, 17.24677, 17.18009, 16.99847, 16.87604, 16.85476, 16.59681, 16.37079, 16.30953, 16.11385, 16.30093, 16.4386, 16.48289, 16.43376, 16.64622, 16.6655, 16.42154, 16.59929, 16.80213, 17.0334, 17.1608, 17.24743, 17.70544, 17.89392, 47.73946, 47.66731, 47.38959, 47.32771, 47.45604, 47.43248, 47.33622, 47.11003, 47.04871, 46.96725, 46.75066, 46.6985, 46.43898, 46.31717, 46.3206, 46.35044, 
46.4759, 46.72224, 46.85006, 46.86907, 46.99435, 47.01618, 47.10936, 47.35292, 47.4466, 47.59777, 47.6653, 47.74224, 47.69088, 47.71362, 48.00666, 48.01201, 47.75899, 47.73946)))"
ITF6,Calabria,"list(list(c(17.02506, 17.13943, 17.1404, 17.1474, 16.89073, 16.5706, 16.58208, 16.21143, 16.06868, 15.74459, 15.64606, 15.64879, 15.81102, 15.91896, 15.86066, 16.13466, 16.21375, 16.20541, 16.09315, 16.06208, 16.00891, 15.82914, 15.75596, 15.87855, 16.06791, 16.29854, 16.39888, 16.44283, 16.64432, 16.60968, 16.50106, 16.53411, 17.02506, 39.48358, 39.389, 39.18798, 38.94067, 38.92713, 38.76028, 38.46979, 38.17689, 37.94237, 37.92818, 38.01573, 38.20796, 38.30887, 38.50676, 38.65617, 38.72949, 38.81044, 
38.91182, 39.04874, 39.18798, 39.40718, 39.65361, 39.9235, 40.00039, 39.90634, 39.93076, 40.0554, 40.13097, 40.1191, 39.95148, 39.80342, 39.67719, 39.48358)))"
ITG1,Sicilia,"list(list(c(15.25808, 15.09553, 15.0915, 15.22574, 15.20433, 15.29782, 15.12496, 15.11661, 15.00036, 14.52788, 14.33759, 14.03621, 13.68578, 12.8965, 12.67719, 12.49373, 12.44171, 12.5103, 12.75226, 12.87747, 12.97726, 13.09705, 13.30289, 13.72888, 14.18349, 14.37869, 14.76033, 15.10412, 15.56273, 15.54133, 15.25808, 37.80722, 37.47543, 37.35771, 37.26174, 37.18079, 37.04925, 36.85688, 36.68094, 36.70285, 36.79307, 37.00198, 37.10603, 37.18877, 37.57712, 37.57597, 37.68835, 37.79523, 38.0136, 38.15318, 
38.04373, 38.04021, 38.17132, 38.20948, 37.98173, 38.0194, 38.01871, 38.15547, 38.13108, 38.27889, 38.14595, 37.80722)), list(c(14.89607, 14.89477, 14.97353, 14.95252, 14.78463, 14.8214, 14.89607, 38.60869, 38.53288, 38.53318, 38.44195, 38.5633, 38.60824, 38.60869)), list(c(12.91219, 12.92497, 12.83447, 12.78792, 12.91219, 35.90691, 35.82055, 35.82128, 35.87721, 35.90691)), list(c(12.05228, 11.99328, 11.92124, 11.95074, 12.05454, 12.05228, 36.74792, 36.73387, 36.81721, 36.84242, 36.79968, 36.74792
)))"
TR52,"Konya, Karaman","list(list(c(33.46441, 33.29196, 33.21533, 33.37417, 33.47308, 34.03357, 34.38711, 34.33523, 34.42891, 34.37116, 33.99748, 33.80836, 33.01024, 33.01237, 33.18628, 32.57323, 32.51608, 32.51993, 32.45723, 31.97743, 31.76158, 31.49959, 31.30098, 31.34458, 31.44439, 31.43445, 31.57402, 31.31143, 31.23335, 31.59563, 31.54899, 31.69882, 31.61973, 31.81532, 32.00875, 32.44861, 33.00318, 33.33001, 33.37098, 33.46441, 38.63659, 38.46861, 38.29713, 38.0029, 37.96168, 38.00481, 37.75003, 37.51437, 37.31638, 
37.22616, 37.09766, 37.00603, 36.83055, 36.69887, 36.53728, 36.35762, 36.41421, 36.52924, 36.73847, 37.10047, 37.3327, 37.32773, 37.40426, 37.63542, 37.75448, 37.95753, 38.07669, 38.28207, 38.40997, 38.61586, 38.70689, 38.95195, 39.10306, 39.12869, 38.98502, 38.96655, 39.2302, 39.04644, 38.7993, 38.63659)))"
TR61,"Antalya, Isparta, Burdur","list(list(c(31.30098, 31.49959, 31.76158, 31.97743, 32.45723, 32.51993, 32.51608, 32.57323, 32.57634, 32.33021, 32.04358, 31.27758, 30.6616, 30.57737, 30.55026, 30.4459, 30.20819, 29.76409, 29.26056, 29.32655, 29.48704, 29.6423, 29.73071, 29.71326, 29.41688, 29.34145, 29.58544, 29.51271, 29.85212, 30.03998, 30.17203, 30.45416, 30.6616, 31.01211, 31.12638, 31.23335, 31.31143, 31.57402, 31.43445, 31.44439, 31.34458, 31.30098, 37.40426, 37.32773, 37.3327, 37.10047, 36.73847, 36.52924, 36.41421, 36.35762, 
36.09323, 36.21071, 36.52924, 36.81634, 36.87353, 36.77133, 36.52924, 36.25919, 36.30872, 36.13833, 36.3044, 36.43078, 36.52924, 36.69204, 36.88158, 36.95631, 36.88017, 37.00685, 37.37586, 37.59853, 37.75229, 37.75241, 37.95026, 38.16254, 38.24303, 38.46421, 38.47817, 38.40997, 38.28207, 38.07669, 37.95753, 37.75448, 37.63542, 37.40426)))"
TR62,"Adana, Mersin","list(list(c(36.4405, 36.30387, 36.11497, 35.95855, 35.87276, 36.04825, 36.05271, 35.96309, 35.68503, 35.54856, 35.32829, 34.89925, 34.62276, 34.22758, 34.02206, 33.86007, 33.7266, 32.9607, 32.78863, 32.57634, 32.57323, 33.18628, 33.01237, 33.01024, 33.80836, 33.99748, 34.37116, 34.42891, 34.748, 34.85881, 34.89965, 35.21871, 35.56059, 35.60648, 35.89943, 36.11497, 36.27995, 36.4405, 38.21943, 37.73458, 37.71053, 37.50711, 37.20014, 37.15741, 37.01851, 36.903, 36.75596, 36.57336, 36.55916, 36.73828, 
36.79027, 36.52924, 36.29367, 36.29171, 36.17489, 36.09264, 36.0263, 36.09323, 36.35762, 36.53728, 36.69887, 36.83055, 37.00603, 37.09766, 37.22616, 37.31638, 37.4093, 37.48305, 37.6581, 37.75922, 37.74544, 37.94122, 38.07917, 38.31836, 38.35987, 38.21943)))"
TR63,"Hatay, Kahramanmaraş, Osmaniye","list(list(c(36.69739, 36.53034, 36.46567, 36.66001, 36.56145, 36.6724, 36.40941, 36.36185, 36.11497, 35.91681, 35.94458, 35.8197, 36.20333, 36.13339, 35.96309, 36.05271, 36.04825, 35.87276, 35.95855, 36.11497, 36.30387, 36.4405, 36.76985, 37.34149, 37.28943, 37.6473, 37.74187, 37.74159, 37.62747, 37.63867, 37.4521, 37.62322, 37.52848, 37.08292, 36.91079, 36.69739, 37.21814, 37.08439, 36.94867, 36.83323, 36.52924, 36.25104, 36.20756, 36.01073, 35.85862, 35.92852, 36.06225, 36.32819, 36.67874, 36.85698, 
36.903, 37.01851, 37.15741, 37.20014, 37.50711, 37.71053, 37.73458, 38.21943, 38.54644, 38.59352, 38.48842, 38.33919, 38.2236, 38.15028, 38.0283, 37.93117, 37.6508, 37.51165, 37.38429, 37.19181, 37.3201, 37.21814)))"
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","list(list(c(35.21871, 34.89965, 34.85881, 34.748, 34.42891, 34.33523, 34.38711, 34.03357, 33.47308, 33.37417, 33.21533, 33.29196, 33.46441, 33.7113, 33.78578, 33.74505, 33.88602, 33.65494, 33.44172, 33.26631, 33.36614, 33.57303, 33.58087, 33.69542, 33.91623, 34.03161, 34.17551, 34.05826, 34.10804, 34.40424, 34.51355, 34.64294, 34.80143, 34.90402, 35.03419, 34.98055, 35.06421, 34.88532, 35.05412, 35.25751, 35.28314, 35.21871, 37.75922, 37.6581, 37.48305, 37.4093, 37.31638, 37.51437, 37.75003, 38.00481, 
37.96168, 38.0029, 38.29713, 38.46861, 38.63659, 38.70204, 38.84379, 38.94444, 39.04341, 39.14869, 39.35145, 39.66368, 39.94788, 40.03205, 40.19089, 40.33224, 40.26304, 40.18128, 39.94043, 39.89402, 39.793, 39.6748, 39.49295, 39.41212, 39.32659, 39.26504, 39.00488, 38.80465, 38.56235, 38.34469, 38.182, 38.09528, 37.89942, 37.75922)))"
