NUTS,Air_passengers,Hospital_beds,Death_rate,Compensation_of_employees,Deaths,Early_leavers_from_ed.,Employment_worked_hrs.,Farm_labour_force,Health_personnel,Respiratory_discharges,Life_expectancy,Longterm_care_beds,Gross_domestic_product,Ed._participation,Population_density,Population,Pupils_enrolled,GVA_growth,Vehicles,Tertiary_ed._students,Unemployment_rate,Utilised_agricultural_area,NEET_rate,Cases_density_1,Cases_density_2,Country,Latitude,Longitude
BG32,NA,674.11,1753.33,1843.34,13725,12.7,574486.27,41760,2595,30164,74.6,5128.06,4557.31,1.5,53.1,773450,25201,109.8,364640,29166,5.7,793430,13.1,0.0012773934966707609,0.02837675350701403,BG,25.593,43.2223
BG33,2069,536.38,1437.45,2478.74,13482,12.5,713057.09,35610,3687,20091,75,2631.13,6307.94,1.4,63.7,924870,33664,110.1,413877,31718,6.1,822230,14.5,0.0021527349789700174,0.028881896915242143,BG,27.3512,43.3648
BG34,2858,670.17,1517.16,2806.58,15831,24.4,782417.86,46720,3515,28186,74.5,1705.24,6818.65,0.7,52.5,1024115,42482,109.3,445427,12986,4.6,845160,21.6,0.0014500324670569222,0.032522714734185124,BG,26.5534,42.4799
BG41,7078,739.34,1343.42,12668.12,28739,5.2,2140683.61,55690,9334,58119,76,3452.36,30951.19,2.7,103.7,2094260,78218,118.4,1160682,113123,3.6,554470,6.5,0.0031333263300640803,0.04023091688711048,BG,23.3357,42.3235
BG42,NA,824.74,1466.29,3361.86,21199,15.1,1090510.17,102090,5687,54730,75.6,6320.29,8665.82,1.1,63.7,1406630,51107,115.6,625257,37662,3.4,698880,16.8,0.0019400979646388887,0.025157290829855756,BG,25.1669,41.7421
CY00,11261,311.47,669.03,9910.42,6239,11.5,798137.06,16550,3768,841.1,82.3,3327.697729582647,22286.88,4.7,95.7,888005,58473,121.4,693821,50211,7.6,109330,14.4,0.002354716471191041,0.035871419642907416,CY,33.1739,35.0284
DE1,14477,678.959192880412,1179.4407894736842,247302.3205321177,111582,11.45,7896478.309945238,67140,46015.001524708605,NA,81.2921052631579,140.82428585920533,NA,7.545945945945946,31.392520365510183,11100394,93772,106.8,6616220.456020029,439955,3.9642857142857144,1422460,8.225,0.0035325773121206326,0.024393008031967152,DE,9.0509,48.5342
DE2,53698,617.2955797215936,1179.4407894736842,292402.04595203965,134313,11.45,9336533.554055445,136570,54406.60872635687,NA,81.2921052631579,127.05399633115658,NA,7.545945945945946,37.11747290812065,13124737,110873,106.8,7822799.210485948,520188,3.9642857142857144,3136230,8.225,0.004120920670638962,0.028425407686264493,DE,11.4213,48.9474
DE3,24223,404.3393797980561,989.21,80077.13,34739,10.6,2854987,3180,15211.318982002305,53254,81.2921052631579,136.7516400221193,154672.63,10.3,4322.9,3669491,30998,115.5,1328836,145437,6.1,26740,10,0.0028510766207084305,0.03164199067391091,DE,13.4022,52.5005
DE4,11404,266.53796944362006,1303.24,36609.46,32027,10.8,1623513,22760,10454.125343672662,37975,81.2921052631579,134.4457106316904,74838.1,4.9,86.7,2521893,21304,105.9,1629514,99953,3.9,1313810,6.4,0.0014826164313870573,0.028097147658524765,DE,12.1381,53.0836
DE5,2305,553.298778599798,1182.98,18376.06,7704,16,588804,290,2823.819683214357,15649,81.2921052631579,117.60942461262484,33779.44,9.4,1744.5,681202,5754,104,316904,26998,5.1,8450,9.3,0.002753955508057815,0.022699581034700426,DE,8.7877,53.1065
DE6,17274,254.19021431208284,989.61,59427.63,17474,13.2,1808903,1890,7657.507437260564,33134,81.2921052631579,115.04224841849584,124075.6,10,2597.5,1847253,15604,108.1,868090,73214,4.7,14440,8.3,0.0032226229974995305,0.02379046075442833,DE,10.01,53.5392
DE7,70436,1113.8212236506386,1179.4407894736842,140090.23244504642,66669,11.45,3252718,24200,26066.28294342432,NA,81.2921052631579,118.84285325551006,NA,7.545945945945946,17.783033598623373,6288080,53119,106.8,2545001,249223,4,771890,7.6,0.0022305695856286814,0.02698248113891681,DE,9.0325,50.6006
DE8,126,271.0035993577202,1362.96,24185.9,21702,11.5,1087824,17130,6666.292432677781,41449,81.2921052631579,141.12549252208723,46711.17,5.2,71.3,1608138,13584,106.6,986526,63737,4.6,1340960,6.8,6.081567626658906e-4,0.013827793385891012,DE,12.4675,53.7138
DE9,6287,278.5547138081175,1179.4407894736842,178087.17490785467,94256,11.45,1143103,73330,33136.29086570467,NA,81.2921052631579,117.22207007207741,NA,7.545945945945946,22.60635991244141,7993608,67527,106.8,1095060,316820,4.4,2590900,6,0.00196694659032567,0.017789713981471195,DE,9.1837,52.7621
DEA,43439,1523.462026553345,1179.4407894736842,399840.7083931214,206479,11.45,3826268,60000,74397.48550180132,NA,81.2921052631579,100.29190282926633,NA,7.545945945945946,50.7557209903371,17947221,151611,106.8,3062624,711324,5.1,1463030,8.9,0.0031057733116452964,0.025797252956321202,DE,7.5507,51.4749
DEB,1597,1321.9596535497099,1179.4407894736842,91206.82670663747,47619,11.45,1030052,36920,16970.654626043826,NA,81.2921052631579,200.62089041816108,NA,7.545945945945946,11.577781230280946,4093903,34583,106.8,1082958,162258,2.2,706950,5.3,0.0020581826193732484,0.02225895435236253,DE,7.9074,49.5093
